"Date","TXHALL1LFN"
1990-01-01,2301
1990-02-01,2079
1990-03-01,1896
1990-04-01,1722
1990-05-01,1898
1990-06-01,1925
1990-07-01,1757
1990-08-01,1840
1990-09-01,1901
1990-10-01,2198
1990-11-01,2528
1990-12-01,2675
1991-01-01,2044
1991-02-01,1888
1991-03-01,1864
1991-04-01,1837
1991-05-01,1946
1991-06-01,1909
1991-07-01,1852
1991-08-01,1809
1991-09-01,1775
1991-10-01,1940
1991-11-01,2161
1991-12-01,2414
1992-01-01,1943
1992-02-01,1801
1992-03-01,1968
1992-04-01,1887
1992-05-01,2272
1992-06-01,2635
1992-07-01,1972
1992-08-01,1797
1992-09-01,1736
1992-10-01,2141
1992-11-01,1873
1992-12-01,2097
1993-01-01,1914
1993-02-01,1762
1993-03-01,1849
1993-04-01,1858
1993-05-01,1891
1993-06-01,1940
1993-07-01,1840
1993-08-01,1825
1993-09-01,1871
1993-10-01,1995
1993-11-01,2158
1993-12-01,2024
1994-01-01,1989
1994-02-01,1859
1994-03-01,1866
1994-04-01,1840
1994-05-01,1835
1994-06-01,1872
1994-07-01,1860
1994-08-01,1802
1994-09-01,1794
1994-10-01,1911
1994-11-01,2011
1994-12-01,1999
1995-01-01,1868
1995-02-01,1661
1995-03-01,1673
1995-04-01,1711
1995-05-01,1690
1995-06-01,1733
1995-07-01,1753
1995-08-01,1756
1995-09-01,1742
1995-10-01,1833
1995-11-01,1980
1995-12-01,2029
1996-01-01,1868
1996-02-01,1704
1996-03-01,1729
1996-04-01,1706
1996-05-01,1733
1996-06-01,1712
1996-07-01,1662
1996-08-01,1672
1996-09-01,1727
1996-10-01,1827
1996-11-01,1964
1996-12-01,1979
1997-01-01,1906
1997-02-01,1707
1997-03-01,1693
1997-04-01,1676
1997-05-01,1647
1997-06-01,1668
1997-07-01,1570
1997-08-01,1601
1997-09-01,1624
1997-10-01,1711
1997-11-01,1820
1997-12-01,1802
1998-01-01,1867
1998-02-01,1713
1998-03-01,1693
1998-04-01,1666
1998-05-01,1652
1998-06-01,1629
1998-07-01,1654
1998-08-01,1591
1998-09-01,1617
1998-10-01,1645
1998-11-01,1685
1998-12-01,1586
1999-01-01,1616
1999-02-01,1502
1999-03-01,1520
1999-04-01,1587
1999-05-01,1607
1999-06-01,1584
1999-07-01,1516
1999-08-01,1532
1999-09-01,1573
1999-10-01,1730
1999-11-01,1806
1999-12-01,1743
2000-01-01,1689
2000-02-01,1664
2000-03-01,1660
2000-04-01,1616
2000-05-01,1683
2000-06-01,1731
2000-07-01,1808
2000-08-01,1790
2000-09-01,1782
2000-10-01,1741
2000-11-01,1729
2000-12-01,1779
2001-01-01,1731
2001-02-01,1683
2001-03-01,1734
2001-04-01,1671
2001-05-01,1718
2001-06-01,1739
2001-07-01,1770
2001-08-01,1821
2001-09-01,1778
2001-10-01,1795
2001-11-01,1719
2001-12-01,1738
2002-01-01,1659
2002-02-01,1644
2002-03-01,1690
2002-04-01,1683
2002-05-01,1694
2002-06-01,1664
2002-07-01,1768
2002-08-01,1694
2002-09-01,1744
2002-10-01,1702
2002-11-01,1684
2002-12-01,1617
2003-01-01,1699
2003-02-01,1707
2003-03-01,1800
2003-04-01,1802
2003-05-01,1753
2003-06-01,1780
2003-07-01,1723
2003-08-01,1725
2003-09-01,1793
2003-10-01,1752
2003-11-01,1704
2003-12-01,1625
2004-01-01,1653
2004-02-01,1626
2004-03-01,1561
2004-04-01,1668
2004-05-01,1576
2004-06-01,1729
2004-07-01,1731
2004-08-01,1760
2004-09-01,1697
2004-10-01,1664
2004-11-01,1648
2004-12-01,1612
2005-01-01,1578
2005-02-01,1489
2005-03-01,1522
2005-04-01,1592
2005-05-01,1554
2005-06-01,1596
2005-07-01,1706
2005-08-01,1622
2005-09-01,1629
2005-10-01,1622
2005-11-01,1596
2005-12-01,1602
2006-01-01,1579
2006-02-01,1528
2006-03-01,1514
2006-04-01,1436
2006-05-01,1417
2006-06-01,1504
2006-07-01,1510
2006-08-01,1401
2006-09-01,1409
2006-10-01,1382
2006-11-01,1372
2006-12-01,1425
2007-01-01,1435
2007-02-01,1441
2007-03-01,1450
2007-04-01,1422
2007-05-01,1421
2007-06-01,1423
2007-07-01,1431
2007-08-01,1316
2007-09-01,1379
2007-10-01,1336
2007-11-01,1356
2007-12-01,1384
2008-01-01,1407
2008-02-01,1315
2008-03-01,1386
2008-04-01,1406
2008-05-01,1380
2008-06-01,1456
2008-07-01,1462
2008-08-01,1433
2008-09-01,1525
2008-10-01,1480
2008-11-01,1502
2008-12-01,1501
2009-01-01,1450
2009-02-01,1433
2009-03-01,1454
2009-04-01,1476
2009-05-01,1515
2009-06-01,1548
2009-07-01,1478
2009-08-01,1519
2009-09-01,1465
2009-10-01,1405
2009-11-01,1434
2009-12-01,1411
2010-01-01,1378
2010-02-01,1365
2010-03-01,1401
2010-04-01,1447
2010-05-01,1434
2010-06-01,1463
2010-07-01,1465
2010-08-01,1446
2010-09-01,1455
2010-10-01,1421
2010-11-01,1403
2010-12-01,1395
2011-01-01,1357
2011-02-01,1363
2011-03-01,1412
2011-04-01,1414
2011-05-01,1398
2011-06-01,1431
2011-07-01,1447
2011-08-01,1451
2011-09-01,1425
2011-10-01,1353
2011-11-01,1371
2011-12-01,1379
2012-01-01,1329
2012-02-01,1324
2012-03-01,1337
2012-04-01,1339
2012-05-01,1343
2012-06-01,1379
2012-07-01,1375
2012-08-01,1352
2012-09-01,1345
2012-10-01,1327
2012-11-01,1314
2012-12-01,1319
2013-01-01,1283
2013-02-01,1276
2013-03-01,1277
2013-04-01,1293
2013-05-01,1317
2013-06-01,1349
2013-07-01,1326
2013-08-01,1285
2013-09-01,1297
2013-10-01,1272
2013-11-01,1235
2013-12-01,1243
2014-01-01,1234
2014-02-01,1267
2014-03-01,1268
2014-04-01,1293
2014-05-01,1292
2014-06-01,1310
2014-07-01,1280
2014-08-01,1258
2014-09-01,1269
2014-10-01,1240
2014-11-01,1220
2014-12-01,1210
2015-01-01,1208
2015-02-01,1241
2015-03-01,1252
2015-04-01,1235
2015-05-01,1238
2015-06-01,1234
2015-07-01,1219
2015-08-01,1182
2015-09-01,1187
2015-10-01,1167
2015-11-01,1146
2015-12-01,1137
2016-01-01,1124
2016-02-01,1170
2016-03-01,1208
2016-04-01,1209
2016-05-01,1223
