"Date","OKCART9LFN"
1990-01-01,19384
1990-02-01,19520
1990-03-01,19629
1990-04-01,19434
1990-05-01,19893
1990-06-01,20481
1990-07-01,20253
1990-08-01,19714
1990-09-01,19517
1990-10-01,19728
1990-11-01,19745
1990-12-01,19467
1991-01-01,19425
1991-02-01,19305
1991-03-01,19401
1991-04-01,19538
1991-05-01,19739
1991-06-01,20358
1991-07-01,20569
1991-08-01,19833
1991-09-01,19741
1991-10-01,19714
1991-11-01,19793
1991-12-01,19891
1992-01-01,19759
1992-02-01,19598
1992-03-01,19746
1992-04-01,19682
1992-05-01,19966
1992-06-01,20611
1992-07-01,20146
1992-08-01,19894
1992-09-01,19609
1992-10-01,19629
1992-11-01,19802
1992-12-01,19761
1993-01-01,19761
1993-02-01,19902
1993-03-01,20014
1993-04-01,20069
1993-05-01,20553
1993-06-01,21314
1993-07-01,21355
1993-08-01,21111
1993-09-01,20864
1993-10-01,20715
1993-11-01,20867
1993-12-01,20734
1994-01-01,20489
1994-02-01,20245
1994-03-01,20121
1994-04-01,20231
1994-05-01,20464
1994-06-01,20948
1994-07-01,20727
1994-08-01,20715
1994-09-01,20340
1994-10-01,20386
1994-11-01,20499
1994-12-01,20404
1995-01-01,20417
1995-02-01,20383
1995-03-01,20386
1995-04-01,20421
1995-05-01,22604
1995-06-01,21497
1995-07-01,21204
1995-08-01,20889
1995-09-01,20970
1995-10-01,21132
1995-11-01,21060
1995-12-01,20629
1996-01-01,20368
1996-02-01,20254
1996-03-01,20518
1996-04-01,20573
1996-05-01,20790
1996-06-01,21441
1996-07-01,21115
1996-08-01,20576
1996-09-01,20612
1996-10-01,20691
1996-11-01,20828
1996-12-01,20613
1997-01-01,20411
1997-02-01,20349
1997-03-01,20577
1997-04-01,20440
1997-05-01,20743
1997-06-01,21491
1997-07-01,21565
1997-08-01,21123
1997-09-01,21161
1997-10-01,21092
1997-11-01,21246
1997-12-01,21002
1998-01-01,19948
1998-02-01,20001
1998-03-01,20237
1998-04-01,20489
1998-05-01,20805
1998-06-01,21047
1998-07-01,20990
1998-08-01,20846
1998-09-01,20947
1998-10-01,20693
1998-11-01,20693
1998-12-01,20428
1999-01-01,20431
1999-02-01,20120
1999-03-01,20165
1999-04-01,20449
