"Date","LNU07200000"
1990-02-01,3006
1990-03-01,3152
1990-04-01,2975
1990-05-01,3162
1990-06-01,4397
1990-07-01,3466
1990-08-01,2911
1990-09-01,3240
1990-10-01,3061
1990-11-01,2805
1990-12-01,2350
1991-01-01,2432
1991-02-01,2755
1991-03-01,2830
1991-04-01,2762
1991-05-01,2937
1991-06-01,4052
1991-07-01,3170
1991-08-01,2788
1991-09-01,3275
1991-10-01,2790
1991-11-01,2566
1991-12-01,2066
1992-01-01,2705
1992-02-01,2426
1992-03-01,2721
1992-04-01,2768
1992-05-01,2948
1992-06-01,3860
1992-07-01,3431
1992-08-01,2502
1992-09-01,2997
1992-10-01,3026
1992-11-01,2589
1992-12-01,2326
1993-01-01,2450
1993-02-01,2927
1993-03-01,2734
1993-04-01,2709
1993-05-01,3405
1993-06-01,3805
1993-07-01,3377
1993-08-01,2813
1993-09-01,3328
1993-10-01,3061
1993-11-01,2691
1993-12-01,2485
1994-01-01,2707
1994-02-01,3075
1994-03-01,2754
1994-04-01,2896
1994-05-01,3284
1994-06-01,4227
1994-07-01,3459
1994-08-01,3050
1994-09-01,3479
1994-10-01,3201
1994-11-01,2868
1994-12-01,2645
1995-01-01,2762
1995-02-01,2961
1995-03-01,2755
1995-04-01,2765
1995-05-01,2839
1995-06-01,4528
1995-07-01,3546
1995-08-01,2715
1995-09-01,3752
1995-10-01,3215
1995-11-01,2865
1995-12-01,2203
1996-01-01,2610
1996-02-01,3343
1996-03-01,2855
1996-04-01,2595
1996-05-01,3437
1996-06-01,4135
1996-07-01,3629
1996-08-01,2999
1996-09-01,3323
1996-10-01,3080
1996-11-01,2786
1996-12-01,2216
1997-01-01,2757
1997-02-01,2841
1997-03-01,3209
1997-04-01,2752
1997-05-01,3449
1997-06-01,3922
1997-07-01,3420
1997-08-01,3196
1997-09-01,3225
1997-10-01,3358
1997-11-01,3040
1997-12-01,2941
1998-01-01,2770
1998-02-01,2994
1998-03-01,3018
1998-04-01,3030
1998-05-01,3378
1998-06-01,4021
1998-07-01,3948
1998-08-01,3389
1998-09-01,3983
1998-10-01,3667
1998-11-01,3222
1998-12-01,3276
1999-01-01,3259
1999-02-01,3178
1999-03-01,3078
1999-04-01,3509
1999-05-01,3776
1999-06-01,4372
1999-07-01,4154
1999-08-01,3374
1999-09-01,3917
1999-10-01,3704
1999-11-01,3228
1999-12-01,3178
2000-01-01,3236
2000-02-01,3454
2000-03-01,3601
2000-04-01,3216
2000-05-01,3195
2000-06-01,4878
2000-07-01,3527
2000-08-01,3511
2000-09-01,4184
2000-10-01,3781
2000-11-01,3738
2000-12-01,3400
2001-01-01,3548
2001-02-01,3883
2001-03-01,3558
2001-04-01,3184
2001-05-01,3548
2001-06-01,4878
2001-07-01,4249
2001-08-01,3802
