"Date","LASRD920000000000005"
1976-01-01,24224478
1976-02-01,24215231
1976-03-01,24225260
1976-04-01,24283723
1976-05-01,24362172
1976-06-01,24445262
1976-07-01,24509700
1976-08-01,24552850
1976-09-01,24585026
1976-10-01,24612813
1976-11-01,24646954
1976-12-01,24699002
1977-01-01,24776551
1977-02-01,24875161
1977-03-01,24979832
1977-04-01,25079312
1977-05-01,25166974
1977-06-01,25241219
1977-07-01,25307289
1977-08-01,25373645
1977-09-01,25446084
1977-10-01,25521288
1977-11-01,25593065
1977-12-01,25657128
1978-01-01,25719929
1978-02-01,25788461
1978-03-01,25864764
1978-04-01,25947182
1978-05-01,26033642
1978-06-01,26119609
1978-07-01,26197469
1978-08-01,26263183
1978-09-01,26319829
1978-10-01,26377537
1978-11-01,26436927
1978-12-01,26485748
1979-01-01,26513362
1979-02-01,26522051
1979-03-01,26520267
1979-04-01,26515533
1979-05-01,26516196
1979-06-01,26524652
1979-07-01,26544252
1979-08-01,26572209
1979-09-01,26598673
1979-10-01,26614617
1979-11-01,26613904
1979-12-01,26590366
1980-01-01,26532982
1980-02-01,26435470
1980-03-01,26303935
1980-04-01,26155665
1980-05-01,26012396
1980-06-01,25899316
1980-07-01,25829858
1980-08-01,25805110
1980-09-01,25815621
1980-10-01,25843731
1980-11-01,25882794
1980-12-01,25937956
1981-01-01,26006520
1981-02-01,26077773
1981-03-01,26144600
1981-04-01,26194079
1981-05-01,26212673
1981-06-01,26197330
1981-07-01,26149633
1981-08-01,26076467
1981-09-01,25991526
1981-10-01,25906231
1981-11-01,25819071
1981-12-01,25731968
1982-01-01,25656612
1982-02-01,25597877
1982-03-01,25550635
1982-04-01,25513641
1982-05-01,25484148
1982-06-01,25450030
1982-07-01,25404464
1982-08-01,25348323
1982-09-01,25284114
1982-10-01,25219322
1982-11-01,25165727
1982-12-01,25125917
1983-01-01,25100751
1983-02-01,25100188
1983-03-01,25129156
1983-04-01,25188625
1983-05-01,25275093
1983-06-01,25382193
1983-07-01,25500708
1983-08-01,25614426
1983-09-01,25712902
1983-10-01,25793902
1983-11-01,25859393
1983-12-01,25918643
1984-01-01,25985357
1984-02-01,26066214
1984-03-01,26156634
1984-04-01,26244380
1984-05-01,26317918
1984-06-01,26370644
1984-07-01,26400896
1984-08-01,26415983
1984-09-01,26425522
1984-10-01,26443278
1984-11-01,26482271
1984-12-01,26542317
1985-01-01,26606475
1985-02-01,26653628
1985-03-01,26675639
1985-04-01,26676357
1985-05-01,26666578
1985-06-01,26661646
1985-07-01,26674020
1985-08-01,26714226
1985-09-01,26780140
1985-10-01,26856466
1985-11-01,26926060
1985-12-01,26977274
1986-01-01,27010492
1986-02-01,27037525
1986-03-01,27069104
1986-04-01,27110345
1986-05-01,27161734
1986-06-01,27221444
1986-07-01,27286018
1986-08-01,27348626
1986-09-01,27404946
1986-10-01,27454753
1986-11-01,27496189
1986-12-01,27537398
1987-01-01,27583389
1987-02-01,27631742
1987-03-01,27682709
1987-04-01,27737329
1987-05-01,27795586
1987-06-01,27853382
1987-07-01,27906713
1987-08-01,27953600
1987-09-01,27997586
1987-10-01,28038370
1987-11-01,28078214
1987-12-01,28115790
1988-01-01,28151359
1988-02-01,28191360
1988-03-01,28237834
1988-04-01,28290903
1988-05-01,28349902
1988-06-01,28415567
1988-07-01,28487197
1988-08-01,28562860
1988-09-01,28642450
1988-10-01,28728194
1988-11-01,28818665
1988-12-01,28904953
1989-01-01,28980902
1989-02-01,29037480
1989-03-01,29073921
1989-04-01,29092962
1989-05-01,29097676
1989-06-01,29092451
1989-07-01,29081032
1989-08-01,29066417
1989-09-01,29049481
1989-10-01,29034722
1989-11-01,29023462
1989-12-01,29017605
1990-01-01,28897443
1990-02-01,28866859
1990-03-01,28861348
1990-04-01,28859151
1990-05-01,28857716
1990-06-01,28854903
1990-07-01,28853660
1990-08-01,28855259
1990-09-01,28853386
1990-10-01,28840355
1990-11-01,28820009
1990-12-01,28796486
1991-01-01,28768798
1991-02-01,28743476
1991-03-01,28722695
1991-04-01,28707537
1991-05-01,28699246
1991-06-01,28698542
1991-07-01,28700117
1991-08-01,28701986
1991-09-01,28708539
1991-10-01,28721052
1991-11-01,28746563
1991-12-01,28780381
1992-01-01,28826281
1992-02-01,28883104
1992-03-01,28952019
1992-04-01,29029655
1992-05-01,29100688
1992-06-01,29167860
1992-07-01,29213389
1992-08-01,29248067
1992-09-01,29271801
1992-10-01,29290902
1992-11-01,29307696
1992-12-01,29326802
1993-01-01,29355943
1993-02-01,29399989
1993-03-01,29463408
1993-04-01,29544909
1993-05-01,29634816
1993-06-01,29721883
1993-07-01,29797818
1993-08-01,29862399
1993-09-01,29924313
1993-10-01,29988796
