"Date","CADELN5LFN"
1990-01-01,9049
1990-02-01,8976
1990-03-01,9165
1990-04-01,9384
1990-05-01,9426
1990-06-01,9662
1990-07-01,9991
1990-08-01,9605
1990-09-01,10135
1990-10-01,9977
1990-11-01,9863
1990-12-01,10026
1991-01-01,9777
1991-02-01,9795
1991-03-01,9781
1991-04-01,9724
1991-05-01,9803
1991-06-01,9953
1991-07-01,10011
1991-08-01,9796
1991-09-01,9890
1991-10-01,9727
1991-11-01,9681
1991-12-01,9626
1992-01-01,9686
1992-02-01,9823
1992-03-01,9781
1992-04-01,9746
1992-05-01,9922
1992-06-01,10088
1992-07-01,10174
1992-08-01,9896
1992-09-01,9904
1992-10-01,9779
1992-11-01,9655
1992-12-01,9686
1993-01-01,9887
1993-02-01,9965
1993-03-01,9793
1993-04-01,9689
1993-05-01,9696
1993-06-01,9815
1993-07-01,9940
1993-08-01,9812
1993-09-01,9719
1993-10-01,9789
1993-11-01,9491
1993-12-01,9443
1994-01-01,10105
1994-02-01,10038
1994-03-01,9948
1994-04-01,10002
1994-05-01,9940
1994-06-01,10152
1994-07-01,9904
1994-08-01,10094
1994-09-01,10368
1994-10-01,10178
1994-11-01,9990
1994-12-01,9786
1995-01-01,10123
1995-02-01,10153
1995-03-01,10126
1995-04-01,10025
1995-05-01,10087
1995-06-01,10181
1995-07-01,10136
1995-08-01,9968
1995-09-01,10039
1995-10-01,10164
1995-11-01,10019
1995-12-01,10014
1996-01-01,9954
1996-02-01,9937
1996-03-01,10038
1996-04-01,10038
1996-05-01,10081
1996-06-01,10304
1996-07-01,10245
1996-08-01,10049
1996-09-01,10365
1996-10-01,10290
1996-11-01,10186
1996-12-01,10212
1997-01-01,10235
1997-02-01,10101
1997-03-01,10144
1997-04-01,9980
1997-05-01,10084
1997-06-01,10181
1997-07-01,10304
1997-08-01,10121
1997-09-01,10450
1997-10-01,10271
1997-11-01,10068
1997-12-01,10002
1998-01-01,10002
1998-02-01,10005
1998-03-01,10070
1998-04-01,9754
1998-05-01,9990
1998-06-01,10191
1998-07-01,9875
1998-08-01,10012
1998-09-01,10013
1998-10-01,10082
1998-11-01,9756
1998-12-01,9867
1999-01-01,9917
1999-02-01,9962
1999-03-01,9908
1999-04-01,9793
1999-05-01,9764
1999-06-01,9937
1999-07-01,10014
1999-08-01,9917
1999-09-01,10005
1999-10-01,9915
1999-11-01,9793
1999-12-01,9787
2000-01-01,10368
2000-02-01,10165
2000-03-01,10056
2000-04-01,10111
2000-05-01,10240
2000-06-01,10458
2000-07-01,10243
2000-08-01,10251
2000-09-01,10469
2000-10-01,10269
2000-11-01,10146
2000-12-01,9959
2001-01-01,10159
2001-02-01,10109
2001-03-01,10171
2001-04-01,10276
2001-05-01,10295
2001-06-01,10516
2001-07-01,10268
2001-08-01,10149
2001-09-01,10305
2001-10-01,10268
2001-11-01,9991
2001-12-01,9846
2002-01-01,9896
2002-02-01,9921
2002-03-01,10015
2002-04-01,10193
2002-05-01,10128
2002-06-01,10491
2002-07-01,10337
2002-08-01,10353
2002-09-01,10460
2002-10-01,10479
2002-11-01,10165
2002-12-01,10190
2003-01-01,10231
2003-02-01,10173
2003-03-01,10344
2003-04-01,10132
2003-05-01,10193
2003-06-01,10558
2003-07-01,10455
2003-08-01,10494
2003-09-01,10504
2003-10-01,10387
2003-11-01,10147
2003-12-01,10187
2004-01-01,10425
2004-02-01,10423
2004-03-01,10424
2004-04-01,10378
2004-05-01,10591
