"Date","TOTLL65O"
2000-01-01,4174
2000-02-01,4246
2000-03-01,4415
2000-04-01,4306
2000-05-01,4398
2000-06-01,4175
2000-07-01,4197
2000-08-01,4293
2000-09-01,4389
2000-10-01,4441
2000-11-01,4340
2000-12-01,4364
2001-01-01,4356
2001-02-01,4308
2001-03-01,4388
2001-04-01,4344
2001-05-01,4324
2001-06-01,4261
2001-07-01,4297
2001-08-01,4415
2001-09-01,4452
2001-10-01,4547
2001-11-01,4414
2001-12-01,4477
2002-01-01,4377
2002-02-01,4410
2002-03-01,4387
2002-04-01,4478
2002-05-01,4525
2002-06-01,4490
2002-07-01,4468
2002-08-01,4494
2002-09-01,4592
2002-10-01,4581
2002-11-01,4400
2002-12-01,4419
2003-01-01,4736
2003-02-01,4785
2003-03-01,4832
2003-04-01,4777
2003-05-01,4809
2003-06-01,4738
2003-07-01,4647
2003-08-01,4751
2003-09-01,4858
2003-10-01,4850
2003-11-01,4845
2003-12-01,4872
2004-01-01,4846
2004-02-01,4920
2004-03-01,5047
2004-04-01,4850
2004-05-01,4944
2004-06-01,4984
2004-07-01,4957
2004-08-01,5039
2004-09-01,5124
2004-10-01,5140
2004-11-01,5070
2004-12-01,5051
2005-01-01,4939
2005-02-01,5117
2005-03-01,5110
2005-04-01,5290
2005-05-01,5330
2005-06-01,5207
2005-07-01,5272
2005-08-01,5257
2005-09-01,5451
2005-10-01,5561
2005-11-01,5398
2005-12-01,5403
2006-01-01,5341
2006-02-01,5239
2006-03-01,5306
2006-04-01,5482
2006-05-01,5504
2006-06-01,5359
2006-07-01,5268
2006-08-01,5432
2006-09-01,5604
2006-10-01,5758
2006-11-01,5767
2006-12-01,5744
2007-01-01,5457
2007-02-01,5532
2007-03-01,5731
2007-04-01,5766
2007-05-01,5814
2007-06-01,5817
2007-07-01,5824
2007-08-01,5783
2007-09-01,5956
2007-10-01,5969
2007-11-01,6010
2007-12-01,5984
2008-01-01,5960
2008-02-01,5978
2008-03-01,6082
2008-04-01,6155
2008-05-01,6166
2008-06-01,6111
2008-07-01,6334
2008-08-01,6390
2008-09-01,6454
2008-10-01,6433
2008-11-01,6449
2008-12-01,6409
2009-01-01,6503
2009-02-01,6400
2009-03-01,6456
2009-04-01,6406
2009-05-01,6531
2009-06-01,6367
2009-07-01,6425
2009-08-01,6567
2009-09-01,6663
2009-10-01,6702
2009-11-01,6721
2009-12-01,6672
2010-01-01,6689
2010-02-01,6676
2010-03-01,6650
2010-04-01,6589
2010-05-01,6682
2010-06-01,6542
2010-07-01,6628
2010-08-01,6751
2010-09-01,6886
2010-10-01,6832
2010-11-01,6834
2010-12-01,6851
2011-01-01,6899
2011-02-01,6989
2011-03-01,7010
2011-04-01,7102
2011-05-01,7120
2011-06-01,6965
2011-07-01,7001
2011-08-01,6980
2011-09-01,7227
2011-10-01,7367
2011-11-01,7322
2011-12-01,7360
2012-01-01,7396
2012-02-01,7636
2012-03-01,7676
2012-04-01,7682
2012-05-01,7807
2012-06-01,7672
2012-07-01,7601
2012-08-01,7705
2012-09-01,7878
2012-10-01,7852
2012-11-01,7943
2012-12-01,7878
2013-01-01,7965
2013-02-01,8037
2013-03-01,8064
2013-04-01,8171
2013-05-01,8295
2013-06-01,8127
2013-07-01,7936
2013-08-01,8158
2013-09-01,8197
2013-10-01,8096
2013-11-01,8189
2013-12-01,8155
2014-01-01,8275
2014-02-01,8391
2014-03-01,8262
2014-04-01,8425
2014-05-01,8463
2014-06-01,8210
2014-07-01,8216
2014-08-01,8241
