"Date","TNCANN5LFN"
1990-01-01,5433
1990-02-01,5305
1990-03-01,5302
1990-04-01,5232
1990-05-01,5370
1990-06-01,5412
1990-07-01,5408
1990-08-01,5443
1990-09-01,5562
1990-10-01,5591
1990-11-01,5546
1990-12-01,5512
1991-01-01,5538
1991-02-01,5511
1991-03-01,5573
1991-04-01,5627
1991-05-01,5513
1991-06-01,5794
1991-07-01,5454
1991-08-01,5603
1991-09-01,5622
1991-10-01,5654
1991-11-01,5607
1991-12-01,5495
1992-01-01,5497
1992-02-01,5408
1992-03-01,5531
1992-04-01,5327
1992-05-01,5328
1992-06-01,5627
1992-07-01,5712
1992-08-01,5500
1992-09-01,5435
1992-10-01,5466
1992-11-01,5483
1992-12-01,5433
1993-01-01,5358
1993-02-01,5378
1993-03-01,5323
1993-04-01,5341
1993-05-01,5389
1993-06-01,5143
1993-07-01,5323
1993-08-01,5107
1993-09-01,5102
1993-10-01,5106
1993-11-01,5108
1993-12-01,5138
1994-01-01,5112
1994-02-01,5111
1994-03-01,5063
1994-04-01,4996
1994-05-01,4993
1994-06-01,5016
1994-07-01,5074
1994-08-01,5044
1994-09-01,4923
1994-10-01,5018
1994-11-01,5377
1994-12-01,5066
1995-01-01,4994
1995-02-01,4967
1995-03-01,4993
1995-04-01,5205
1995-05-01,5269
1995-06-01,5206
1995-07-01,5113
1995-08-01,5135
1995-09-01,5194
1995-10-01,5086
1995-11-01,5024
1995-12-01,4958
1996-01-01,5002
1996-02-01,5003
1996-03-01,5140
1996-04-01,5072
1996-05-01,5079
1996-06-01,5039
1996-07-01,4892
1996-08-01,4895
1996-09-01,4942
1996-10-01,5022
1996-11-01,5023
1996-12-01,5072
1997-01-01,5190
1997-02-01,5003
1997-03-01,5140
1997-04-01,4844
1997-05-01,4764
1997-06-01,4850
1997-07-01,4840
1997-08-01,4767
1997-09-01,4889
1997-10-01,4797
1997-11-01,4847
1997-12-01,4822
1998-01-01,4724
1998-02-01,4739
1998-03-01,4832
1998-04-01,4920
1998-05-01,5123
1998-06-01,5071
1998-07-01,4923
1998-08-01,4978
1998-09-01,5023
1998-10-01,5004
1998-11-01,5001
1998-12-01,5012
1999-01-01,5052
1999-02-01,5058
1999-03-01,5203
1999-04-01,5081
1999-05-01,5246
1999-06-01,5085
1999-07-01,4953
1999-08-01,4988
1999-09-01,5124
1999-10-01,5043
1999-11-01,4977
1999-12-01,5035
2000-01-01,6294
2000-02-01,6310
2000-03-01,6374
2000-04-01,6330
2000-05-01,6320
2000-06-01,6424
2000-07-01,6437
2000-08-01,6379
2000-09-01,6298
2000-10-01,6363
2000-11-01,6379
2000-12-01,6403
2001-01-01,6358
2001-02-01,6356
2001-03-01,6391
2001-04-01,6383
2001-05-01,6350
2001-06-01,6436
2001-07-01,6434
2001-08-01,6328
2001-09-01,6336
2001-10-01,6364
2001-11-01,6374
2001-12-01,6368
2002-01-01,6231
2002-02-01,6297
2002-03-01,6268
2002-04-01,6286
2002-05-01,6318
2002-06-01,6446
2002-07-01,6534
2002-08-01,6403
2002-09-01,6407
2002-10-01,6398
2002-11-01,6438
2002-12-01,6435
2003-01-01,6348
2003-02-01,6379
2003-03-01,6357
2003-04-01,6377
2003-05-01,6365
2003-06-01,6443
2003-07-01,6452
2003-08-01,6344
2003-09-01,6308
2003-10-01,6364
2003-11-01,6357
2003-12-01,6358
2004-01-01,6278
2004-02-01,6326
2004-03-01,6305
2004-04-01,6300
2004-05-01,6323
2004-06-01,6450
2004-07-01,6474
2004-08-01,6370
2004-09-01,6276
2004-10-01,6375
2004-11-01,6376
2004-12-01,6355
2005-01-01,6153
2005-02-01,6204
2005-03-01,6194
2005-04-01,6267
2005-05-01,6283
2005-06-01,6380
2005-07-01,6466
2005-08-01,6380
2005-09-01,6452
2005-10-01,6532
2005-11-01,6524
2005-12-01,6537
2006-01-01,6401
2006-02-01,6408
2006-03-01,6450
2006-04-01,6483
2006-05-01,6525
2006-06-01,6690
2006-07-01,6702
2006-08-01,6644
2006-09-01,6595
2006-10-01,6617
2006-11-01,6682
2006-12-01,6706
2007-01-01,6335
2007-02-01,6331
2007-03-01,6374
2007-04-01,6327
2007-05-01,6352
2007-06-01,6478
2007-07-01,6526
2007-08-01,6450
2007-09-01,6394
2007-10-01,6393
2007-11-01,6432
2007-12-01,6439
2008-01-01,6449
2008-02-01,6418
2008-03-01,6425
2008-04-01,6500
2008-05-01,6546
2008-06-01,6715
2008-07-01,6691
2008-08-01,6634
2008-09-01,6684
2008-10-01,6705
2008-11-01,6750
2008-12-01,6739
2009-01-01,6558
2009-02-01,6646
2009-03-01,6514
2009-04-01,6491
2009-05-01,6547
2009-06-01,6737
2009-07-01,6696
2009-08-01,6474
2009-09-01,6437
2009-10-01,6507
2009-11-01,6482
2009-12-01,6445
2010-01-01,5977
2010-02-01,5975
2010-03-01,6017
2010-04-01,6048
2010-05-01,6059
2010-06-01,6151
2010-07-01,6137
2010-08-01,6118
2010-09-01,6129
2010-10-01,6164
2010-11-01,6171
2010-12-01,6130
2011-01-01,6056
2011-02-01,6036
2011-03-01,6072
2011-04-01,6047
2011-05-01,6094
2011-06-01,6166
2011-07-01,6146
2011-08-01,6118
2011-09-01,6068
2011-10-01,6077
2011-11-01,6076
2011-12-01,6023
2012-01-01,5933
2012-02-01,5966
2012-03-01,6003
2012-04-01,5959
2012-05-01,6013
2012-06-01,6105
2012-07-01,6088
2012-08-01,6037
2012-09-01,6030
2012-10-01,6065
2012-11-01,6041
2012-12-01,6017
2013-01-01,5864
2013-02-01,5880
2013-03-01,5881
2013-04-01,5911
2013-05-01,5953
2013-06-01,6032
2013-07-01,6043
2013-08-01,5950
2013-09-01,5924
2013-10-01,5898
2013-11-01,5890
2013-12-01,5844
2014-01-01,5682
2014-02-01,5738
2014-03-01,5749
2014-04-01,5734
2014-05-01,5791
2014-06-01,5861
2014-07-01,5887
2014-08-01,5827
2014-09-01,5809
2014-10-01,5871
2014-11-01,5863
2014-12-01,5836
2015-01-01,5779
2015-02-01,5774
2015-03-01,5819
2015-04-01,5816
2015-05-01,5869
2015-06-01,5943
2015-07-01,5941
2015-08-01,5866
2015-09-01,5849
2015-10-01,5923
2015-11-01,5917
2015-12-01,5931
2016-01-01,5879
2016-02-01,5929
2016-03-01,5949
2016-04-01,5940
2016-05-01,5960
2016-06-01,6069
2016-07-01,6105
2016-08-01,6063
2016-09-01,6098
2016-10-01,6103
2016-11-01,6105
2016-12-01,6084
2017-01-01,6059
2017-02-01,6110
2017-03-01,6124
2017-04-01,6134
2017-05-01,6170
2017-06-01,6247
2017-07-01,6285
2017-08-01,6244
2017-09-01,6279
2017-10-01,6263
2017-11-01,6283
2017-12-01,6270
2018-01-01,6274
2018-02-01,6329
2018-03-01,6347
2018-04-01,6360
2018-05-01,6358
2018-06-01,6500
2018-07-01,6496
2018-08-01,6431
2018-09-01,6465
2018-10-01,6509
2018-11-01,6550
2018-12-01,6517
2019-01-01,6542
2019-02-01,6591
2019-03-01,6598
2019-04-01,6604
2019-05-01,6627
2019-06-01,6728
2019-07-01,6738
2019-08-01,6692
2019-09-01,6698
2019-10-01,6697
2019-11-01,6739
2019-12-01,6728
2020-01-01,6713
2020-02-01,6734
2020-03-01,6604
2020-04-01,6371
2020-05-01,6463
2020-06-01,6445
2020-07-01,6375
2020-08-01,6398
2020-09-01,6408
2020-10-01,6592
2020-11-01,6633
2020-12-01,6628
2021-01-01,6559
2021-02-01,6560
2021-03-01,6559
2021-04-01,6552
2021-05-01,6587
2021-06-01,6684
2021-07-01,6720
2021-08-01,6684
2021-09-01,6665
2021-10-01,6713
2021-11-01,6760
2021-12-01,6764
2022-01-01,6768
2022-02-01,6843
2022-03-01,6866
2022-04-01,6907
2022-05-01,6896
2022-06-01,6989
2022-07-01,6921
2022-08-01,6864
2022-09-01,6824
2022-10-01,6867
2022-11-01,6817
2022-12-01,6791
2023-01-01,6851
2023-02-01,6909
2023-03-01,6909
2023-04-01,6918
2023-05-01,6962
2023-06-01,7053
2023-07-01,7070
2023-08-01,6963
2023-09-01,7000
2023-10-01,7081
