"Date","LAUCN120770000000005"
1990-01-01,2115
1990-02-01,2098
1990-03-01,2131
1990-04-01,2103
1990-05-01,2149
1990-06-01,2186
1990-07-01,2150
1990-08-01,2118
1990-09-01,2161
1990-10-01,2149
1990-11-01,2113
1990-12-01,2105
1991-01-01,2032
1991-02-01,2049
1991-03-01,2084
1991-04-01,2098
1991-05-01,2171
1991-06-01,2206
1991-07-01,2224
1991-08-01,2163
1991-09-01,2201
1991-10-01,2220
1991-11-01,2179
1991-12-01,2188
1992-01-01,2167
1992-02-01,2172
1992-03-01,2188
1992-04-01,2240
1992-05-01,2281
1992-06-01,2257
1992-07-01,2306
1992-08-01,2323
1992-09-01,2293
1992-10-01,2257
1992-11-01,2201
1992-12-01,2196
1993-01-01,2167
1993-02-01,2161
1993-03-01,2180
1993-04-01,2128
1993-05-01,2195
1993-06-01,2221
1993-07-01,2220
1993-08-01,2213
1993-09-01,2266
1993-10-01,2238
1993-11-01,2199
1993-12-01,2203
1994-01-01,2177
1994-02-01,2194
1994-03-01,2225
1994-04-01,2242
1994-05-01,2275
1994-06-01,2292
1994-07-01,2317
1994-08-01,2300
1994-09-01,2349
1994-10-01,2349
1994-11-01,2337
1994-12-01,2331
1995-01-01,2371
1995-02-01,2370
1995-03-01,2398
1995-04-01,2386
1995-05-01,2425
1995-06-01,2445
1995-07-01,2505
1995-08-01,2516
1995-09-01,2538
1995-10-01,2427
1995-11-01,2373
1995-12-01,2359
1996-01-01,2395
1996-02-01,2417
1996-03-01,2421
1996-04-01,2328
1996-05-01,2395
1996-06-01,2370
1996-07-01,2428
1996-08-01,2429
1996-09-01,2448
1996-10-01,2436
1996-11-01,2400
1996-12-01,2380
1997-01-01,2368
1997-02-01,2348
1997-03-01,2371
1997-04-01,2395
1997-05-01,2463
1997-06-01,2461
1997-07-01,2501
1997-08-01,2464
1997-09-01,2515
1997-10-01,2482
1997-11-01,2475
1997-12-01,2439
1998-01-01,2387
1998-02-01,2376
1998-03-01,2350
1998-04-01,2306
1998-05-01,2343
1998-06-01,2360
1998-07-01,2350
1998-08-01,2168
1998-09-01,2240
1998-10-01,2255
1998-11-01,2246
1998-12-01,2214
1999-01-01,2205
1999-02-01,2214
1999-03-01,2244
1999-04-01,2233
1999-05-01,2268
1999-06-01,2296
1999-07-01,2296
1999-08-01,2296
1999-09-01,2359
1999-10-01,2330
1999-11-01,2317
1999-12-01,2330
2000-01-01,2519
2000-02-01,2554
2000-03-01,2549
2000-04-01,2555
2000-05-01,2533
2000-06-01,2539
2000-07-01,2524
2000-08-01,2479
2000-09-01,2538
2000-10-01,2553
2000-11-01,2529
2000-12-01,2538
2001-01-01,2494
2001-02-01,2500
2001-03-01,2543
2001-04-01,2544
2001-05-01,2544
2001-06-01,2599
2001-07-01,2620
2001-08-01,2580
2001-09-01,2654
2001-10-01,2681
2001-11-01,2672
2001-12-01,2658
2002-01-01,2628
2002-02-01,2685
2002-03-01,2735
2002-04-01,2731
2002-05-01,2766
2002-06-01,2739
2002-07-01,2795
2002-08-01,2839
2002-09-01,2890
2002-10-01,2977
2002-11-01,2936
2002-12-01,2916
2003-01-01,2868
2003-02-01,2863
2003-03-01,2871
2003-04-01,2891
2003-05-01,2917
2003-06-01,2882
2003-07-01,2908
2003-08-01,2906
2003-09-01,2918
2003-10-01,2988
2003-11-01,2940
2003-12-01,2905
2004-01-01,2987
2004-02-01,3009
2004-03-01,3034
2004-04-01,3019
2004-05-01,3057
2004-06-01,3017
2004-07-01,3079
2004-08-01,3102
2004-09-01,3089
2004-10-01,3010
2004-11-01,2969
2004-12-01,2955
2005-01-01,2970
2005-02-01,2957
2005-03-01,3016
2005-04-01,3102
2005-05-01,3165
2005-06-01,3177
2005-07-01,3243
2005-08-01,3293
2005-09-01,3369
2005-10-01,3435
2005-11-01,3375
2005-12-01,3384
2006-01-01,3401
2006-02-01,3430
2006-03-01,3414
2006-04-01,3414
2006-05-01,3453
2006-06-01,3412
2006-07-01,3444
2006-08-01,3439
2006-09-01,3475
2006-10-01,3520
2006-11-01,3461
2006-12-01,3472
2007-01-01,3467
2007-02-01,3509
2007-03-01,3510
2007-04-01,3514
2007-05-01,3561
2007-06-01,3536
2007-07-01,3598
2007-08-01,3588
2007-09-01,3650
2007-10-01,3690
2007-11-01,3632
2007-12-01,3599
2008-01-01,3624
2008-02-01,3604
2008-03-01,3613
2008-04-01,3625
2008-05-01,3625
2008-06-01,3724
2008-07-01,3712
2008-08-01,3713
2008-09-01,3761
2008-10-01,3803
2008-11-01,3713
2008-12-01,3671
2009-01-01,3676
2009-02-01,3655
2009-03-01,3672
