"Date","LAUMT052786000000004"
1990-01-01,3182
1990-02-01,3808
1990-03-01,3508
1990-04-01,3276
1990-05-01,3273
1990-06-01,3164
1990-07-01,3255
1990-08-01,2928
1990-09-01,3037
1990-10-01,2723
1990-11-01,3116
1990-12-01,3626
1991-01-01,3569
1991-02-01,4045
1991-03-01,3972
1991-04-01,3558
1991-05-01,3825
1991-06-01,3949
1991-07-01,3981
1991-08-01,3361
1991-09-01,3350
1991-10-01,3262
1991-11-01,3389
1991-12-01,3635
1992-01-01,4075
1992-02-01,3912
1992-03-01,3462
1992-04-01,2997
1992-05-01,3212
1992-06-01,3573
1992-07-01,3319
1992-08-01,2965
1992-09-01,3007
1992-10-01,2595
1992-11-01,2453
1992-12-01,2635
1993-01-01,3426
1993-02-01,3370
1993-03-01,3181
1993-04-01,2834
1993-05-01,2948
1993-06-01,3346
1993-07-01,3230
1993-08-01,2773
1993-09-01,2535
1993-10-01,2324
1993-11-01,2236
1993-12-01,2529
1994-01-01,2546
1994-02-01,2360
1994-03-01,2383
1994-04-01,2281
1994-05-01,2225
1994-06-01,2522
1994-07-01,2581
1994-08-01,2221
1994-09-01,2006
1994-10-01,1896
1994-11-01,1776
1994-12-01,1896
1995-01-01,2446
1995-02-01,2587
1995-03-01,2125
1995-04-01,2035
1995-05-01,1938
1995-06-01,2176
1995-07-01,2426
1995-08-01,2110
1995-09-01,1846
1995-10-01,1711
1995-11-01,2067
1995-12-01,1920
1996-01-01,2671
1996-02-01,2613
1996-03-01,2457
1996-04-01,2264
1996-05-01,2402
1996-06-01,2479
1996-07-01,2701
1996-08-01,2186
1996-09-01,2209
1996-10-01,2164
1996-11-01,2035
1996-12-01,2115
1997-01-01,2554
1997-02-01,2428
1997-03-01,2413
1997-04-01,2062
1997-05-01,2246
1997-06-01,2621
1997-07-01,2585
1997-08-01,2354
1997-09-01,2317
1997-10-01,1830
1997-11-01,1771
1997-12-01,2148
1998-01-01,2527
1998-02-01,2519
1998-03-01,2515
1998-04-01,2179
1998-05-01,2257
1998-06-01,2551
1998-07-01,2589
1998-08-01,2331
1998-09-01,2335
1998-10-01,2128
1998-11-01,2044
1998-12-01,2079
1999-01-01,2406
1999-02-01,2451
1999-03-01,1990
1999-04-01,1928
1999-05-01,2012
1999-06-01,2251
1999-07-01,2294
1999-08-01,2072
1999-09-01,1934
1999-10-01,1707
1999-11-01,1742
1999-12-01,1923
2000-01-01,2443
2000-02-01,2458
2000-03-01,2239
2000-04-01,1843
2000-05-01,2087
2000-06-01,2266
2000-07-01,2394
2000-08-01,2310
2000-09-01,2164
2000-10-01,1992
2000-11-01,2182
2000-12-01,2193
2001-01-01,2685
2001-02-01,2671
2001-03-01,2453
2001-04-01,2356
2001-05-01,2420
2001-06-01,2714
2001-07-01,2890
2001-08-01,3014
2001-09-01,2753
2001-10-01,2619
2001-11-01,2685
2001-12-01,3171
2002-01-01,3630
2002-02-01,3470
2002-03-01,3220
2002-04-01,3007
2002-05-01,2969
2002-06-01,3171
2002-07-01,3170
2002-08-01,2876
2002-09-01,2668
2002-10-01,2540
2002-11-01,2680
2002-12-01,2840
2003-01-01,3347
2003-02-01,3286
2003-03-01,3098
2003-04-01,2922
2003-05-01,3044
2003-06-01,3454
2003-07-01,3408
2003-08-01,3232
2003-09-01,3131
2003-10-01,2968
2003-11-01,2995
2003-12-01,3152
2004-01-01,3650
2004-02-01,3581
2004-03-01,3346
2004-04-01,2949
2004-05-01,3000
2004-06-01,3265
2004-07-01,3318
2004-08-01,2884
2004-09-01,2758
2004-10-01,2613
2004-11-01,2675
2004-12-01,2858
2005-01-01,3224
2005-02-01,3347
2005-03-01,2875
2005-04-01,2684
2005-05-01,2842
2005-06-01,3050
2005-07-01,3155
2005-08-01,2850
2005-09-01,2843
2005-10-01,2525
2005-11-01,2593
2005-12-01,2776
2006-01-01,3014
2006-02-01,3334
2006-03-01,3048
2006-04-01,2892
2006-05-01,3044
2006-06-01,3205
2006-07-01,3320
2006-08-01,2977
2006-09-01,2719
2006-10-01,2473
2006-11-01,2597
2006-12-01,2803
2007-01-01,3228
2007-02-01,3311
2007-03-01,2954
2007-04-01,2850
2007-05-01,3043
2007-06-01,3348
2007-07-01,3601
2007-08-01,3198
2007-09-01,3139
2007-10-01,2757
2007-11-01,2736
2007-12-01,3038
2008-01-01,3206
2008-02-01,3006
2008-03-01,2814
2008-04-01,2439
2008-05-01,2745
2008-06-01,2916
2008-07-01,3024
2008-08-01,2892
2008-09-01,2820
2008-10-01,2701
2008-11-01,2855
2008-12-01,3326
2009-01-01,4034
2009-02-01,4322
2009-03-01,4235
2009-04-01,3913
2009-05-01,4252
2009-06-01,4573
2009-07-01,4517
2009-08-01,4106
2009-09-01,3965
2009-10-01,3892
2009-11-01,3853
2009-12-01,4122
2010-01-01,4697
2010-02-01,4681
2010-03-01,4367
2010-04-01,4104
2010-05-01,4315
2010-06-01,4422
2010-07-01,4590
2010-08-01,4343
2010-09-01,4223
2010-10-01,4086
2010-11-01,4242
2010-12-01,4354
2011-01-01,4970
2011-02-01,4850
2011-03-01,4529
2011-04-01,4172
2011-05-01,4441
2011-06-01,4753
2011-07-01,4758
2011-08-01,4438
2011-09-01,4303
2011-10-01,3978
2011-11-01,3800
2011-12-01,4084
2012-01-01,4573
2012-02-01,4537
2012-03-01,4043
2012-04-01,3697
2012-05-01,4026
2012-06-01,4328
2012-07-01,4532
2012-08-01,4093
2012-09-01,3904
2012-10-01,3847
2012-11-01,3765
2012-12-01,4068
2013-01-01,4704
2013-02-01,4352
2013-03-01,4003
2013-04-01,3737
2013-05-01,4066
2013-06-01,4341
2013-07-01,4385
2013-08-01,3988
2013-09-01,3806
2013-10-01,3644
2013-11-01,3522
2013-12-01,3610
2014-01-01,4087
2014-02-01,3975
2014-03-01,3615
2014-04-01,2997
2014-05-01,3292
2014-06-01,3450
2014-07-01,3613
2014-08-01,3311
2014-09-01,3060
2014-10-01,2844
2014-11-01,2876
2014-12-01,2963
2015-01-01,3575
2015-02-01,3302
2015-03-01,3007
2015-04-01,2699
2015-05-01,2939
2015-06-01,3065
2015-07-01,3073
2015-08-01,2624
2015-09-01,2454
2015-10-01,2257
2015-11-01,2247
2015-12-01,2284
2016-01-01,2574
2016-02-01,2532
2016-03-01,2203
2016-04-01,1872
2016-05-01,2022
2016-06-01,2336
2016-07-01,2407
2016-08-01,2141
2016-09-01,2054
2016-10-01,1821
2016-11-01,1755
2016-12-01,1902
2017-01-01,2354
2017-02-01,2349
2017-03-01,1947
2017-04-01,1751
2017-05-01,1971
2017-06-01,2255
2017-07-01,2357
2017-08-01,2217
2017-09-01,1955
2017-10-01,1740
2017-11-01,1781
2017-12-01,1887
2018-01-01,2433
2018-02-01,2410
2018-03-01,2078
2018-04-01,1822
2018-05-01,1872
2018-06-01,2295
2018-07-01,2289
2018-08-01,1945
2018-09-01,1826
2018-10-01,1679
2018-11-01,1677
2018-12-01,1880
2019-01-01,2357
2019-02-01,2215
2019-03-01,1834
2019-04-01,1553
2019-05-01,1814
2019-06-01,2118
2019-07-01,2272
2019-08-01,1894
2019-09-01,1718
2019-10-01,1550
2019-11-01,1553
2019-12-01,1678
2020-01-01,2212
2020-02-01,2072
2020-03-01,2958
2020-04-01,5563
2020-05-01,5259
2020-06-01,5130
2020-07-01,4904
