"Date","LAUCN160050000000005"
1990-01-01,29543
1990-02-01,29608
1990-03-01,29705
1990-04-01,29473
1990-05-01,29789
1990-06-01,29616
1990-07-01,28783
1990-08-01,28239
1990-09-01,28251
1990-10-01,28612
1990-11-01,28968
1990-12-01,29290
1991-01-01,28480
1991-02-01,28835
1991-03-01,29039
1991-04-01,29323
1991-05-01,29720
1991-06-01,29841
1991-07-01,29444
1991-08-01,29014
1991-09-01,29667
1991-10-01,30166
1991-11-01,30641
1991-12-01,30754
1992-01-01,28561
1992-02-01,29077
1992-03-01,29110
1992-04-01,29155
1992-05-01,29093
1992-06-01,29365
1992-07-01,28957
1992-08-01,29093
1992-09-01,29390
1992-10-01,29905
1992-11-01,28228
1992-12-01,29256
1993-01-01,32137
1993-02-01,32184
1993-03-01,31959
1993-04-01,31510
1993-05-01,33150
1993-06-01,33160
1993-07-01,33113
1993-08-01,33529
1993-09-01,34012
1993-10-01,34273
1993-11-01,34807
1993-12-01,34224
1994-01-01,34394
1994-02-01,34555
1994-03-01,34840
1994-04-01,34404
1994-05-01,34723
1994-06-01,33655
1994-07-01,33208
1994-08-01,33579
1994-09-01,34509
1994-10-01,34852
1994-11-01,35496
1994-12-01,35409
1995-01-01,33796
1995-02-01,34315
1995-03-01,34539
1995-04-01,34213
1995-05-01,33925
1995-06-01,33181
1995-07-01,32860
1995-08-01,33374
1995-09-01,34405
1995-10-01,34751
1995-11-01,35563
1995-12-01,35376
1996-01-01,32899
1996-02-01,33299
1996-03-01,33509
1996-04-01,33307
1996-05-01,33075
1996-06-01,32937
1996-07-01,32914
1996-08-01,33638
1996-09-01,33391
1996-10-01,34126
1996-11-01,35008
1996-12-01,34828
1997-01-01,36702
1997-02-01,36741
1997-03-01,37137
1997-04-01,37060
1997-05-01,36931
1997-06-01,36593
1997-07-01,35379
1997-08-01,35592
1997-09-01,36534
1997-10-01,37061
1997-11-01,37279
1997-12-01,37511
1998-01-01,36752
1998-02-01,36969
1998-03-01,37201
1998-04-01,37363
1998-05-01,37439
1998-06-01,36518
1998-07-01,36031
1998-08-01,36366
1998-09-01,37661
1998-10-01,38475
1998-11-01,38935
1998-12-01,39087
1999-01-01,37899
1999-02-01,38636
1999-03-01,38648
1999-04-01,38328
1999-05-01,38277
1999-06-01,37467
1999-07-01,36030
1999-08-01,35679
1999-09-01,36189
1999-10-01,36582
1999-11-01,37270
1999-12-01,37308
2000-01-01,36774
2000-02-01,37085
2000-03-01,37326
2000-04-01,36829
2000-05-01,36735
2000-06-01,36119
2000-07-01,35039
2000-08-01,35075
2000-09-01,36061
2000-10-01,36918
2000-11-01,36998
2000-12-01,36848
2001-01-01,36164
2001-02-01,36360
