"Date","MOMILFN"
1990-01-01,12838
1990-02-01,12806
1990-03-01,12868
1990-04-01,13270
1990-05-01,13531
1990-06-01,14168
1990-07-01,13591
1990-08-01,13410
1990-09-01,13393
1990-10-01,13507
1990-11-01,13338
1990-12-01,13340
1991-01-01,13521
1991-02-01,13720
1991-03-01,13773
1991-04-01,14148
1991-05-01,14150
1991-06-01,14809
1991-07-01,14426
1991-08-01,14204
1991-09-01,14157
1991-10-01,13933
1991-11-01,13976
1991-12-01,13756
1992-01-01,13845
1992-02-01,13840
1992-03-01,13995
1992-04-01,14344
1992-05-01,14548
1992-06-01,15171
1992-07-01,14856
1992-08-01,14781
1992-09-01,14557
1992-10-01,14419
1992-11-01,14297
1992-12-01,14161
1993-01-01,14106
1993-02-01,14165
1993-03-01,14315
1993-04-01,14333
1993-05-01,14809
1993-06-01,15429
1993-07-01,15280
1993-08-01,14797
1993-09-01,14598
1993-10-01,14783
1993-11-01,14649
1993-12-01,14522
1994-01-01,14366
1994-02-01,14314
1994-03-01,14379
1994-04-01,14725
1994-05-01,15075
1994-06-01,15476
1994-07-01,15232
1994-08-01,15183
1994-09-01,14986
1994-10-01,14913
1994-11-01,14987
1994-12-01,14767
1995-01-01,14928
1995-02-01,14907
1995-03-01,15157
1995-04-01,15218
1995-05-01,15379
1995-06-01,16018
1995-07-01,15946
1995-08-01,15745
1995-09-01,15459
1995-10-01,15263
1995-11-01,15055
1995-12-01,15018
1996-01-01,15144
1996-02-01,15089
1996-03-01,15372
1996-04-01,15692
1996-05-01,15967
1996-06-01,16385
1996-07-01,16346
1996-08-01,16224
1996-09-01,15824
1996-10-01,15700
1996-11-01,15529
1996-12-01,15333
1997-01-01,15903
1997-02-01,15897
1997-03-01,15948
1997-04-01,16023
1997-05-01,16418
1997-06-01,16907
1997-07-01,17219
1997-08-01,16849
1997-09-01,16051
1997-10-01,16084
1997-11-01,15901
1997-12-01,15879
1998-01-01,15614
1998-02-01,15723
1998-03-01,15944
1998-04-01,16160
1998-05-01,16371
1998-06-01,16822
1998-07-01,17164
1998-08-01,16755
1998-09-01,16037
1998-10-01,15924
1998-11-01,15808
1998-12-01,15712
1999-01-01,15800
1999-02-01,15655
1999-03-01,15974
1999-04-01,15942
1999-05-01,16074
1999-06-01,16671
1999-07-01,16612
1999-08-01,16348
1999-09-01,15906
1999-10-01,15863
1999-11-01,15930
1999-12-01,15662
2000-01-01,14691
2000-02-01,14651
2000-03-01,14862
2000-04-01,15023
2000-05-01,15118
2000-06-01,15442
2000-07-01,15496
2000-08-01,15329
2000-09-01,14988
2000-10-01,14989
2000-11-01,15234
2000-12-01,15071
2001-01-01,15073
2001-02-01,14977
2001-03-01,14885
2001-04-01,15149
2001-05-01,15124
2001-06-01,15298
2001-07-01,15396
2001-08-01,14972
2001-09-01,14837
2001-10-01,14950
2001-11-01,14985
2001-12-01,14875
2002-01-01,14770
2002-02-01,14683
2002-03-01,14607
2002-04-01,14717
2002-05-01,14439
2002-06-01,14712
2002-07-01,15001
2002-08-01,14578
2002-09-01,14623
2002-10-01,14522
2002-11-01,14662
2002-12-01,14502
2003-01-01,14524
2003-02-01,14381
2003-03-01,14381
2003-04-01,14625
2003-05-01,14620
2003-06-01,15014
2003-07-01,14935
2003-08-01,14366
2003-09-01,14325
2003-10-01,14338
2003-11-01,14557
2003-12-01,14387
2004-01-01,14351
2004-02-01,14319
2004-03-01,14371
2004-04-01,14482
2004-05-01,14552
2004-06-01,14968
2004-07-01,14870
2004-08-01,14571
2004-09-01,14608
2004-10-01,14536
2004-11-01,14788
2004-12-01,14741
2005-01-01,14535
2005-02-01,14544
2005-03-01,14472
2005-04-01,14472
2005-05-01,14531
2005-06-01,14784
2005-07-01,14872
2005-08-01,14453
2005-09-01,14445
2005-10-01,14520
2005-11-01,14532
2005-12-01,14482
2006-01-01,14388
2006-02-01,14291
2006-03-01,14258
2006-04-01,14525
2006-05-01,14420
2006-06-01,14756
2006-07-01,14759
2006-08-01,14479
2006-09-01,14529
2006-10-01,14490
2006-11-01,14720
2006-12-01,14525
2007-01-01,14453
2007-02-01,14330
2007-03-01,14455
2007-04-01,14373
2007-05-01,14458
2007-06-01,14777
2007-07-01,14622
2007-08-01,14265
2007-09-01,14419
2007-10-01,14777
2007-11-01,14932
2007-12-01,14696
2008-01-01,14792
2008-02-01,14457
2008-03-01,14593
2008-04-01,14772
2008-05-01,14922
2008-06-01,15056
2008-07-01,14973
2008-08-01,14778
2008-09-01,14794
2008-10-01,15113
2008-11-01,15231
