"Date","LAUMT257555000000004"
1990-01-01,8595
1990-02-01,8462
1990-03-01,8479
1990-04-01,7597
1990-05-01,7301
1990-06-01,7176
1990-07-01,8435
1990-08-01,7187
1990-09-01,7945
1990-10-01,8117
1990-11-01,8852
1990-12-01,9539
1991-01-01,12258
1991-02-01,12380
1991-03-01,12574
1991-04-01,10488
1991-05-01,10617
1991-06-01,10982
1991-07-01,11224
1991-08-01,9778
1991-09-01,9584
1991-10-01,9329
1991-11-01,9519
1991-12-01,10202
1992-01-01,12683
1992-02-01,12091
1992-03-01,11317
1992-04-01,9493
1992-05-01,9449
1992-06-01,9771
1992-07-01,10069
1992-08-01,8679
1992-09-01,8996
1992-10-01,8720
1992-11-01,9160
1992-12-01,9769
1993-01-01,11221
1993-02-01,11032
1993-03-01,10264
1993-04-01,8590
1993-05-01,8204
1993-06-01,8527
1993-07-01,9757
1993-08-01,7649
1993-09-01,7843
1993-10-01,7131
1993-11-01,6847
1993-12-01,7518
1994-01-01,11335
1994-02-01,10718
1994-03-01,10789
1994-04-01,8191
1994-05-01,7621
1994-06-01,7902
1994-07-01,8475
1994-08-01,6940
1994-09-01,6936
1994-10-01,6714
1994-11-01,7264
1994-12-01,7467
1995-01-01,10134
1995-02-01,9481
1995-03-01,9127
1995-04-01,7995
1995-05-01,7397
1995-06-01,7247
1995-07-01,8213
1995-08-01,6769
1995-09-01,6698
1995-10-01,6222
1995-11-01,6689
1995-12-01,6540
1996-01-01,9989
1996-02-01,8975
1996-03-01,8371
1996-04-01,7027
1996-05-01,6520
1996-06-01,6333
1996-07-01,7089
1996-08-01,5551
1996-09-01,5940
1996-10-01,5434
1996-11-01,5616
1996-12-01,6218
1997-01-01,8652
1997-02-01,7958
1997-03-01,7257
1997-04-01,5709
1997-05-01,5240
1997-06-01,5771
1997-07-01,6295
1997-08-01,5155
1997-09-01,5040
1997-10-01,4471
1997-11-01,4424
1997-12-01,4784
1998-01-01,7040
1998-02-01,6771
1998-03-01,6541
1998-04-01,4644
1998-05-01,4544
1998-06-01,4739
1998-07-01,5208
1998-08-01,4277
1998-09-01,4571
1998-10-01,4146
1998-11-01,4126
1998-12-01,4270
1999-01-01,6435
1999-02-01,6203
1999-03-01,5662
1999-04-01,4596
1999-05-01,4318
1999-06-01,4775
1999-07-01,5016
1999-08-01,3948
1999-09-01,4166
1999-10-01,3535
1999-11-01,3578
1999-12-01,3714
2000-01-01,5001
2000-02-01,4963
2000-03-01,4253
2000-04-01,2955
2000-05-01,2985
2000-06-01,3408
2000-07-01,3416
2000-08-01,3138
2000-09-01,3006
2000-10-01,2642
2000-11-01,2970
2000-12-01,3277
2001-01-01,5421
2001-02-01,4989
2001-03-01,5025
2001-04-01,3934
2001-05-01,3794
2001-06-01,4108
2001-07-01,4188
2001-08-01,3897
2001-09-01,3819
2001-10-01,3738
2001-11-01,3831
2001-12-01,4299
2002-01-01,6336
2002-02-01,5993
2002-03-01,5879
2002-04-01,4951
2002-05-01,4688
2002-06-01,5060
2002-07-01,5268
2002-08-01,6059
2002-09-01,4916
2002-10-01,4748
2002-11-01,5021
2002-12-01,5492
2003-01-01,7427
2003-02-01,7211
2003-03-01,6823
2003-04-01,5875
2003-05-01,5593
2003-06-01,5960
2003-07-01,5816
2003-08-01,5497
2003-09-01,5424
2003-10-01,5109
2003-11-01,5131
2003-12-01,5619
2004-01-01,7316
2004-02-01,6670
2004-03-01,6468
2004-04-01,5148
2004-05-01,4985
2004-06-01,5234
2004-07-01,5265
2004-08-01,4723
2004-09-01,4695
2004-10-01,4496
2004-11-01,4507
2004-12-01,4816
2005-01-01,6560
2005-02-01,6635
2005-03-01,6206
2005-04-01,5066
2005-05-01,4797
2005-06-01,4884
2005-07-01,4977
2005-08-01,4685
2005-09-01,4907
2005-10-01,4860
2005-11-01,4673
2005-12-01,5146
2006-01-01,6412
2006-02-01,6576
2006-03-01,5931
2006-04-01,4821
2006-05-01,4676
2006-06-01,4895
2006-07-01,5092
2006-08-01,4695
2006-09-01,4859
2006-10-01,4322
2006-11-01,4506
2006-12-01,4966
2007-01-01,6895
2007-02-01,6620
2007-03-01,5751
2007-04-01,4765
2007-05-01,4416
2007-06-01,4666
2007-07-01,5023
2007-08-01,4507
2007-09-01,4479
2007-10-01,4263
2007-11-01,4500
2007-12-01,5198
2008-01-01,6823
2008-02-01,6602
2008-03-01,6289
2008-04-01,5278
2008-05-01,5237
2008-06-01,5510
2008-07-01,5836
2008-08-01,5818
2008-09-01,6117
2008-10-01,6273
2008-11-01,6403
2008-12-01,7443
2009-01-01,9690
2009-02-01,9877
2009-03-01,9524
2009-04-01,8119
2009-05-01,8340
2009-06-01,8744
2009-07-01,8961
2009-08-01,9027
2009-09-01,8996
2009-10-01,8988
2009-11-01,8829
