"Date","MDBALT5LFN"
1990-01-01,331922
1990-02-01,332488
1990-03-01,333222
1990-04-01,331142
1990-05-01,334585
1990-06-01,338801
1990-07-01,341281
1990-08-01,338588
1990-09-01,334634
1990-10-01,336089
1990-11-01,336450
1990-12-01,334713
1991-01-01,329467
1991-02-01,331849
1991-03-01,334278
1991-04-01,333523
1991-05-01,336665
1991-06-01,341636
1991-07-01,343728
1991-08-01,337532
1991-09-01,335989
1991-10-01,337562
1991-11-01,337258
1991-12-01,335824
1992-01-01,329075
1992-02-01,328765
1992-03-01,330624
1992-04-01,331542
1992-05-01,333961
1992-06-01,340840
1992-07-01,344422
1992-08-01,339920
1992-09-01,333232
1992-10-01,333304
1992-11-01,332947
1992-12-01,331053
1993-01-01,321988
1993-02-01,322088
1993-03-01,324253
1993-04-01,323156
1993-05-01,328169
1993-06-01,334471
1993-07-01,337803
1993-08-01,334799
1993-09-01,329540
1993-10-01,331915
1993-11-01,331759
1993-12-01,329575
1994-01-01,315684
1994-02-01,314565
1994-03-01,315552
1994-04-01,315765
1994-05-01,319848
1994-06-01,323871
1994-07-01,326803
1994-08-01,324454
1994-09-01,320296
1994-10-01,320563
1994-11-01,320156
1994-12-01,317838
1995-01-01,309471
1995-02-01,307970
1995-03-01,310067
1995-04-01,310981
1995-05-01,311810
1995-06-01,315677
1995-07-01,317980
1995-08-01,315384
1995-09-01,312872
1995-10-01,317502
1995-11-01,313122
1995-12-01,310090
1996-01-01,300500
1996-02-01,301527
1996-03-01,304468
1996-04-01,304431
1996-05-01,308664
1996-06-01,312699
1996-07-01,316999
1996-08-01,311652
1996-09-01,310398
1996-10-01,312905
1996-11-01,311820
1996-12-01,307809
1997-01-01,301393
1997-02-01,300695
1997-03-01,304629
1997-04-01,303304
1997-05-01,306822
1997-06-01,311794
1997-07-01,312596
1997-08-01,310296
1997-09-01,312816
1997-10-01,307198
1997-11-01,306781
1997-12-01,304389
1998-01-01,301942
1998-02-01,295374
1998-03-01,297858
1998-04-01,294555
1998-05-01,297054
1998-06-01,301165
1998-07-01,305907
1998-08-01,301425
1998-09-01,295607
1998-10-01,297907
1998-11-01,296393
1998-12-01,293910
1999-01-01,286454
1999-02-01,285840
1999-03-01,286472
1999-04-01,285891
1999-05-01,288956
1999-06-01,292812
1999-07-01,294854
1999-08-01,290908
1999-09-01,287346
1999-10-01,289745
1999-11-01,289071
1999-12-01,287092
2000-01-01,276352
2000-02-01,276217
2000-03-01,278046
2000-04-01,277221
2000-05-01,277888
2000-06-01,281758
2000-07-01,282776
2000-08-01,280974
2000-09-01,279564
2000-10-01,281933
2000-11-01,281742
2000-12-01,281960
2001-01-01,278634
2001-02-01,276978
2001-03-01,279096
2001-04-01,277438
2001-05-01,277368
2001-06-01,281209
2001-07-01,283514
2001-08-01,280022
2001-09-01,278881
2001-10-01,281777
2001-11-01,282296
2001-12-01,281886
2002-01-01,274263
2002-02-01,274787
2002-03-01,275632
2002-04-01,274103
2002-05-01,275293
2002-06-01,278970
2002-07-01,280478
2002-08-01,277173
2002-09-01,275205
2002-10-01,276116
2002-11-01,275196
2002-12-01,274169
2003-01-01,274337
2003-02-01,273351
