"Date","CTNEWL1LFN"
1990-01-01,127490
1990-02-01,127311
1990-03-01,128168
1990-04-01,129285
1990-05-01,131663
1990-06-01,134875
1990-07-01,135909
1990-08-01,135560
1990-09-01,131327
1990-10-01,131124
1990-11-01,130582
1990-12-01,129970
1991-01-01,127900
1991-02-01,127257
1991-03-01,127759
1991-04-01,129522
1991-05-01,131402
1991-06-01,135296
1991-07-01,137593
1991-08-01,135258
1991-09-01,131760
1991-10-01,130743
1991-11-01,131341
1991-12-01,130087
1992-01-01,128180
1992-02-01,129151
1992-03-01,129138
1992-04-01,130355
1992-05-01,132119
1992-06-01,135191
1992-07-01,136710
1992-08-01,135824
1992-09-01,131973
1992-10-01,132004
1992-11-01,131880
1992-12-01,130863
1993-01-01,130310
1993-02-01,130355
1993-03-01,130406
1993-04-01,130493
1993-05-01,131987
1993-06-01,135750
1993-07-01,138325
1993-08-01,137518
1993-09-01,133582
1993-10-01,132359
1993-11-01,131348
1993-12-01,130496
1994-01-01,131042
1994-02-01,130636
1994-03-01,130504
1994-04-01,131206
1994-05-01,133057
1994-06-01,137051
1994-07-01,138303
1994-08-01,137364
1994-09-01,133103
1994-10-01,132711
1994-11-01,132320
1994-12-01,131431
1995-01-01,131275
1995-02-01,131207
1995-03-01,131773
1995-04-01,132260
1995-05-01,133197
1995-06-01,136543
1995-07-01,139808
1995-08-01,138546
1995-09-01,134003
1995-10-01,133378
1995-11-01,132730
1995-12-01,131384
1996-01-01,130958
1996-02-01,130095
1996-03-01,131214
1996-04-01,132065
1996-05-01,134764
1996-06-01,137588
1996-07-01,139766
1996-08-01,137840
1996-09-01,133376
1996-10-01,136497
1996-11-01,135034
1996-12-01,133790
1997-01-01,133904
1997-02-01,132940
1997-03-01,133566
1997-04-01,133543
1997-05-01,136175
1997-06-01,140032
1997-07-01,142396
1997-08-01,140622
1997-09-01,135745
1997-10-01,135034
1997-11-01,134452
1997-12-01,132594
1998-01-01,132025
1998-02-01,131081
1998-03-01,131622
1998-04-01,130506
1998-05-01,133054
1998-06-01,135837
1998-07-01,137699
1998-08-01,136638
1998-09-01,132679
1998-10-01,131618
1998-11-01,131547
1998-12-01,130611
1999-01-01,132118
1999-02-01,131011
1999-03-01,131335
1999-04-01,131686
1999-05-01,133484
1999-06-01,135993
1999-07-01,138245
1999-08-01,137714
1999-09-01,133414
1999-10-01,133755
1999-11-01,133362
1999-12-01,133131
2000-01-01,131937
2000-02-01,131142
2000-03-01,131696
2000-04-01,132116
2000-05-01,133760
2000-06-01,135942
2000-07-01,138940
2000-08-01,137791
2000-09-01,131803
2000-10-01,132358
2000-11-01,131937
2000-12-01,131720
2001-01-01,131784
2001-02-01,131138
2001-03-01,131299
2001-04-01,131748
2001-05-01,133008
2001-06-01,135317
2001-07-01,139322
2001-08-01,138149
2001-09-01,135814
2001-10-01,137334
2001-11-01,137091
2001-12-01,137155
2002-01-01,136695
2002-02-01,137231
2002-03-01,137839
2002-04-01,137499
2002-05-01,139510
2002-06-01,141514
2002-07-01,146019
2002-08-01,145275
2002-09-01,141625
2002-10-01,141537
2002-11-01,140986
2002-12-01,139648
2003-01-01,140549
2003-02-01,140398
