"Date","MNCHIP3LFN"
1990-01-01,6531
1990-02-01,6489
1990-03-01,6499
1990-04-01,6342
1990-05-01,6351
1990-06-01,6577
1990-07-01,6572
1990-08-01,6445
1990-09-01,6357
1990-10-01,6299
1990-11-01,6263
1990-12-01,6382
1991-01-01,6455
1991-02-01,6270
1991-03-01,6255
1991-04-01,6375
1991-05-01,6290
1991-06-01,6586
1991-07-01,6535
1991-08-01,6307
1991-09-01,6207
1991-10-01,6314
1991-11-01,6239
1991-12-01,6256
1992-01-01,6210
1992-02-01,6110
1992-03-01,6051
1992-04-01,6166
1992-05-01,6121
1992-06-01,6473
1992-07-01,6224
1992-08-01,6012
1992-09-01,6080
1992-10-01,6081
1992-11-01,6109
1992-12-01,6063
1993-01-01,6380
1993-02-01,6199
1993-03-01,6311
1993-04-01,6465
1993-05-01,6491
1993-06-01,6667
1993-07-01,6651
1993-08-01,6367
1993-09-01,6464
1993-10-01,6499
1993-11-01,6556
1993-12-01,6558
1994-01-01,6432
1994-02-01,6314
1994-03-01,6204
1994-04-01,6096
1994-05-01,6204
1994-06-01,6435
1994-07-01,6565
1994-08-01,6510
1994-09-01,6744
1994-10-01,6731
1994-11-01,6876
1994-12-01,6735
1995-01-01,6996
1995-02-01,6590
1995-03-01,6600
1995-04-01,6763
1995-05-01,6660
1995-06-01,6843
1995-07-01,6901
1995-08-01,6632
1995-09-01,6751
1995-10-01,6771
1995-11-01,6825
1995-12-01,6838
1996-01-01,7009
1996-02-01,6965
1996-03-01,7100
1996-04-01,7058
1996-05-01,7007
1996-06-01,7178
1996-07-01,7263
1996-08-01,7111
1996-09-01,7126
1996-10-01,7068
1996-11-01,7137
1996-12-01,7054
1997-01-01,6942
1997-02-01,6935
1997-03-01,6976
1997-04-01,7478
1997-05-01,7102
1997-06-01,7352
1997-07-01,7489
1997-08-01,7274
1997-09-01,7208
1997-10-01,7174
1997-11-01,7286
1997-12-01,7204
1998-01-01,6994
1998-02-01,6996
1998-03-01,6939
1998-04-01,6943
1998-05-01,7055
1998-06-01,7299
1998-07-01,7302
1998-08-01,6985
1998-09-01,6950
1998-10-01,6911
1998-11-01,6899
1998-12-01,6910
1999-01-01,6989
1999-02-01,6934
1999-03-01,6858
1999-04-01,6761
1999-05-01,6813
1999-06-01,7121
1999-07-01,7562
1999-08-01,7231
1999-09-01,7112
1999-10-01,6831
1999-11-01,6653
1999-12-01,6638
2000-01-01,7111
2000-02-01,6984
2000-03-01,6996
2000-04-01,6942
2000-05-01,6932
2000-06-01,7199
2000-07-01,7249
2000-08-01,7072
2000-09-01,7077
2000-10-01,7049
2000-11-01,7119
2000-12-01,7376
2001-01-01,7248
2001-02-01,7191
2001-03-01,7202
2001-04-01,7415
2001-05-01,7655
2001-06-01,7714
2001-07-01,7658
2001-08-01,7593
2001-09-01,7448
2001-10-01,7441
2001-11-01,7260
2001-12-01,7426
2002-01-01,7491
2002-02-01,7437
2002-03-01,7534
2002-04-01,7478
2002-05-01,7415
2002-06-01,7600
2002-07-01,7463
2002-08-01,7246
2002-09-01,7474
2002-10-01,7492
2002-11-01,7362
2002-12-01,7355
2003-01-01,7288
2003-02-01,7248
2003-03-01,7307
2003-04-01,7296
2003-05-01,7298
2003-06-01,7405
2003-07-01,7203
2003-08-01,7072
2003-09-01,7118
2003-10-01,7275
2003-11-01,7311
2003-12-01,7366
2004-01-01,7344
2004-02-01,7335
2004-03-01,7305
2004-04-01,7223
2004-05-01,7199
2004-06-01,7427
2004-07-01,7261
2004-08-01,7180
2004-09-01,7189
2004-10-01,7209
2004-11-01,7247
2004-12-01,7252
2005-01-01,7185
2005-02-01,7213
2005-03-01,7163
2005-04-01,7129
2005-05-01,7165
2005-06-01,7326
2005-07-01,7206
2005-08-01,7096
2005-09-01,7100
2005-10-01,7081
2005-11-01,7187
2005-12-01,7225
2006-01-01,7145
2006-02-01,7154
2006-03-01,7150
2006-04-01,7138
2006-05-01,7057
2006-06-01,7284
2006-07-01,7203
2006-08-01,7142
2006-09-01,7118
2006-10-01,7073
2006-11-01,7092
2006-12-01,7130
2007-01-01,7000
2007-02-01,7026
2007-03-01,7122
2007-04-01,7018
2007-05-01,7039
2007-06-01,7231
2007-07-01,7204
2007-08-01,7010
2007-09-01,7048
2007-10-01,6974
2007-11-01,6982
2007-12-01,6983
2008-01-01,7206
2008-02-01,7013
2008-03-01,7116
2008-04-01,7151
2008-05-01,7268
2008-06-01,7386
2008-07-01,7127
2008-08-01,6989
2008-09-01,6979
2008-10-01,6985
2008-11-01,7032
2008-12-01,7072
2009-01-01,7341
2009-02-01,7332
2009-03-01,7281
2009-04-01,7363
2009-05-01,7312
2009-06-01,7538
2009-07-01,7288
2009-08-01,7242
2009-09-01,7075
2009-10-01,7161
2009-11-01,7186
2009-12-01,7166
2010-01-01,7127
2010-02-01,7252
2010-03-01,7275
2010-04-01,7275
2010-05-01,7288
2010-06-01,7188
2010-07-01,7222
2010-08-01,7078
2010-09-01,6962
2010-10-01,7065
2010-11-01,7083
2010-12-01,7071
2011-01-01,7243
2011-02-01,7255
2011-03-01,7290
2011-04-01,7232
2011-05-01,7418
2011-06-01,7300
2011-07-01,7294
2011-08-01,7158
2011-09-01,7042
2011-10-01,6998
2011-11-01,7035
2011-12-01,7117
2012-01-01,7091
2012-02-01,7073
2012-03-01,7120
2012-04-01,7146
2012-05-01,7269
2012-06-01,7339
2012-07-01,7200
2012-08-01,6963
2012-09-01,6865
2012-10-01,6911
2012-11-01,6869
2012-12-01,6951
2013-01-01,6847
2013-02-01,6918
2013-03-01,6930
2013-04-01,6941
2013-05-01,7052
2013-06-01,7129
2013-07-01,6964
2013-08-01,6956
2013-09-01,6907
2013-10-01,6889
2013-11-01,6926
2013-12-01,6966
2014-01-01,6818
2014-02-01,6937
2014-03-01,6959
2014-04-01,6868
2014-05-01,6856
2014-06-01,6907
2014-07-01,6872
2014-08-01,6859
2014-09-01,6880
2014-10-01,7022
2014-11-01,6966
2014-12-01,7013
2015-01-01,7071
2015-02-01,6864
2015-03-01,7118
2015-04-01,6925
2015-05-01,6912
2015-06-01,7103
2015-07-01,6845
2015-08-01,6776
2015-09-01,6770
2015-10-01,7042
2015-11-01,7020
2015-12-01,7103
2016-01-01,7125
2016-02-01,6980
2016-03-01,7072
2016-04-01,6932
2016-05-01,6896
2016-06-01,7034
2016-07-01,6817
2016-08-01,6737
2016-09-01,6792
2016-10-01,7011
2016-11-01,7057
2016-12-01,7100
2017-01-01,7173
2017-02-01,7038
2017-03-01,7163
2017-04-01,7036
2017-05-01,6958
2017-06-01,7076
2017-07-01,6840
2017-08-01,6700
2017-09-01,6766
2017-10-01,6871
2017-11-01,6882
2017-12-01,6983
2018-01-01,6873
2018-02-01,6847
2018-03-01,6908
2018-04-01,6876
2018-05-01,6921
2018-06-01,6967
2018-07-01,6886
2018-08-01,6667
2018-09-01,6834
2018-10-01,6956
2018-11-01,6909
2018-12-01,7015
2019-01-01,6925
2019-02-01,6896
2019-03-01,6927
2019-04-01,6953
2019-05-01,6974
2019-06-01,7052
2019-07-01,6856
2019-08-01,6753
2019-09-01,6906
2019-10-01,6992
2019-11-01,6881
2019-12-01,6986
2020-01-01,6861
2020-02-01,6721
2020-03-01,6774
2020-04-01,6672
2020-05-01,6801
2020-06-01,7138
2020-07-01,6910
2020-08-01,6804
2020-09-01,6838
2020-10-01,6942
2020-11-01,6750
2020-12-01,6678
2021-01-01,6711
2021-02-01,6631
2021-03-01,6611
2021-04-01,6616
2021-05-01,6670
2021-06-01,6680
2021-07-01,6555
2021-08-01,6499
2021-09-01,6526
2021-10-01,6508
2021-11-01,6460
2021-12-01,6664
2022-01-01,6587
2022-02-01,6545
2022-03-01,6589
2022-04-01,6492
2022-05-01,6506
2022-06-01,6571
2022-07-01,6416
2022-08-01,6358
2022-09-01,6403
2022-10-01,6414
2022-11-01,6343
2022-12-01,6539
2023-01-01,6456
2023-02-01,6341
2023-03-01,6411
2023-04-01,6349
2023-05-01,6405
2023-06-01,6414
2023-07-01,6183
2023-08-01,6336
2023-09-01,6388
2023-10-01,6389
