"Date","OHCUYA5LFN"
1990-01-01,658540
1990-02-01,662381
1990-03-01,665238
1990-04-01,664902
1990-05-01,672897
1990-06-01,680604
1990-07-01,689487
1990-08-01,675002
1990-09-01,671932
1990-10-01,671067
1990-11-01,669002
1990-12-01,664277
1991-01-01,656307
1991-02-01,659193
1991-03-01,666334
1991-04-01,669890
1991-05-01,670770
1991-06-01,683161
1991-07-01,691988
1991-08-01,680289
1991-09-01,668979
1991-10-01,666654
1991-11-01,670519
1991-12-01,664949
1992-01-01,662885
1992-02-01,664986
1992-03-01,669572
1992-04-01,672885
1992-05-01,679940
1992-06-01,695855
1992-07-01,705082
1992-08-01,695064
1992-09-01,688187
1992-10-01,677619
1992-11-01,681677
1992-12-01,679611
1993-01-01,674082
1993-02-01,674359
1993-03-01,674124
1993-04-01,675783
1993-05-01,685272
1993-06-01,693599
1993-07-01,699357
1993-08-01,692232
1993-09-01,681595
1993-10-01,678238
1993-11-01,680114
1993-12-01,676880
1994-01-01,671659
1994-02-01,676375
1994-03-01,677801
1994-04-01,684476
1994-05-01,684782
1994-06-01,694018
1994-07-01,699177
1994-08-01,692887
1994-09-01,677384
1994-10-01,678120
1994-11-01,680517
1994-12-01,672739
1995-01-01,664244
1995-02-01,668488
1995-03-01,669816
1995-04-01,679717
1995-05-01,678745
1995-06-01,688755
1995-07-01,698405
1995-08-01,688631
1995-09-01,680949
1995-10-01,677219
1995-11-01,683157
1995-12-01,673358
1996-01-01,665144
1996-02-01,670392
1996-03-01,672951
1996-04-01,675004
1996-05-01,681697
1996-06-01,690022
1996-07-01,699652
1996-08-01,687445
1996-09-01,681114
1996-10-01,680430
1996-11-01,680326
1996-12-01,674328
1997-01-01,671312
1997-02-01,671939
1997-03-01,674810
1997-04-01,678481
1997-05-01,683938
1997-06-01,693883
1997-07-01,703603
1997-08-01,695957
1997-09-01,689331
1997-10-01,687387
1997-11-01,688740
1997-12-01,683831
1998-01-01,674339
1998-02-01,675617
1998-03-01,677314
1998-04-01,677356
1998-05-01,680200
1998-06-01,688705
1998-07-01,694167
1998-08-01,685954
1998-09-01,676968
1998-10-01,678539
1998-11-01,683415
1998-12-01,677415
1999-01-01,674063
1999-02-01,679201
1999-03-01,674452
1999-04-01,680859
1999-05-01,685201
1999-06-01,699885
1999-07-01,702461
1999-08-01,695211
1999-09-01,686850
1999-10-01,685231
1999-11-01,689087
1999-12-01,681660
2000-01-01,676226
2000-02-01,684910
2000-03-01,683389
2000-04-01,686121
2000-05-01,684627
2000-06-01,693759
2000-07-01,697203
2000-08-01,690701
2000-09-01,681742
2000-10-01,680759
2000-11-01,680778
2000-12-01,682088
2001-01-01,678289
2001-02-01,681209
2001-03-01,682953
2001-04-01,685074
2001-05-01,681552
2001-06-01,695550
2001-07-01,701638
2001-08-01,691601
2001-09-01,689861
2001-10-01,687219
2001-11-01,689344
2001-12-01,682814
2002-01-01,674108
2002-02-01,682103
2002-03-01,681066
2002-04-01,685385
2002-05-01,681829
2002-06-01,691400
2002-07-01,696270
2002-08-01,688826
2002-09-01,686926
2002-10-01,681378
2002-11-01,683727
2002-12-01,672568
2003-01-01,671555
2003-02-01,678139
2003-03-01,675891
2003-04-01,682273
2003-05-01,681613
2003-06-01,695297
2003-07-01,692589
2003-08-01,680982
2003-09-01,679102
2003-10-01,675960
2003-11-01,676372
2003-12-01,667245
2004-01-01,667895
2004-02-01,666998
2004-03-01,665902
2004-04-01,668492
2004-05-01,668873
2004-06-01,678006
2004-07-01,683772
2004-08-01,675613
2004-09-01,667016
2004-10-01,668726
2004-11-01,668848
2004-12-01,655960
2005-01-01,650477
2005-02-01,655460
2005-03-01,650669
2005-04-01,658006
2005-05-01,657953
2005-06-01,669295
2005-07-01,672595
2005-08-01,663491
2005-09-01,658272
2005-10-01,658760
2005-11-01,657178
2005-12-01,646990
2006-01-01,637932
2006-02-01,645286
2006-03-01,636582
2006-04-01,647750
2006-05-01,647550
2006-06-01,657462
2006-07-01,665312
2006-08-01,658486
2006-09-01,650093
2006-10-01,651725
2006-11-01,654620
2006-12-01,645305
2007-01-01,642243
2007-02-01,640606
2007-03-01,640646
2007-04-01,645817
2007-05-01,645149
2007-06-01,658663
2007-07-01,663497
2007-08-01,653847
2007-09-01,650167
2007-10-01,649220
2007-11-01,649834
2007-12-01,638208
