"Date","COLINC3LFN"
1990-01-01,2065
1990-02-01,2067
1990-03-01,2143
1990-04-01,2319
1990-05-01,2317
1990-06-01,2384
1990-07-01,2366
1990-08-01,2371
1990-09-01,2230
1990-10-01,2199
1990-11-01,2071
1990-12-01,2140
1991-01-01,2126
1991-02-01,2291
1991-03-01,2350
1991-04-01,2526
1991-05-01,2585
1991-06-01,2663
1991-07-01,2673
1991-08-01,2615
1991-09-01,2514
1991-10-01,2434
1991-11-01,2398
1991-12-01,2299
1992-01-01,2451
1992-02-01,2350
1992-03-01,2409
1992-04-01,2476
1992-05-01,2499
1992-06-01,2658
1992-07-01,2719
1992-08-01,2752
1992-09-01,2554
1992-10-01,2463
1992-11-01,2482
1992-12-01,2443
1993-01-01,2378
1993-02-01,2362
1993-03-01,2381
1993-04-01,2336
1993-05-01,2481
1993-06-01,2706
1993-07-01,2684
1993-08-01,2718
1993-09-01,2636
1993-10-01,2476
1993-11-01,2426
1993-12-01,2371
1994-01-01,2309
1994-02-01,2325
1994-03-01,2296
1994-04-01,2311
1994-05-01,2438
1994-06-01,2602
1994-07-01,2776
1994-08-01,2779
1994-09-01,2710
1994-10-01,2641
1994-11-01,2610
1994-12-01,2511
1995-01-01,2477
1995-02-01,2484
1995-03-01,2540
1995-04-01,2521
1995-05-01,2582
1995-06-01,2726
1995-07-01,2839
1995-08-01,2735
1995-09-01,2618
1995-10-01,2557
1995-11-01,2543
1995-12-01,2519
1996-01-01,2563
1996-02-01,2536
1996-03-01,2537
1996-04-01,2523
1996-05-01,2534
1996-06-01,2676
1996-07-01,2716
1996-08-01,2712
1996-09-01,2595
1996-10-01,2625
1996-11-01,2552
1996-12-01,2465
1997-01-01,2571
1997-02-01,2549
1997-03-01,2551
1997-04-01,2596
1997-05-01,2671
1997-06-01,2784
1997-07-01,2772
1997-08-01,2721
1997-09-01,2691
1997-10-01,2662
1997-11-01,2574
1997-12-01,2596
1998-01-01,2655
1998-02-01,2608
1998-03-01,2656
1998-04-01,2624
1998-05-01,2664
1998-06-01,2759
1998-07-01,2736
1998-08-01,2804
1998-09-01,2603
1998-10-01,2672
1998-11-01,2655
1998-12-01,2552
1999-01-01,2633
1999-02-01,2606
1999-03-01,2687
1999-04-01,2779
1999-05-01,2816
1999-06-01,2903
1999-07-01,2825
1999-08-01,2720
1999-09-01,2618
1999-10-01,2644
1999-11-01,2714
1999-12-01,2541
2000-01-01,2513
2000-02-01,2548
2000-03-01,2545
2000-04-01,2631
2000-05-01,2632
2000-06-01,2754
2000-07-01,2785
2000-08-01,2805
2000-09-01,2641
2000-10-01,2621
2000-11-01,2521
2000-12-01,2483
2001-01-01,2489
2001-02-01,2601
2001-03-01,2640
2001-04-01,2724
2001-05-01,2797
2001-06-01,2877
2001-07-01,2929
2001-08-01,3191
2001-09-01,3296
2001-10-01,3167
2001-11-01,3150
2001-12-01,3023
2002-01-01,3095
2002-02-01,3092
2002-03-01,2966
2002-04-01,2938
2002-05-01,3029
2002-06-01,3219
2002-07-01,3155
2002-08-01,3177
2002-09-01,3005
2002-10-01,3069
2002-11-01,2998
2002-12-01,3117
2003-01-01,3078
2003-02-01,2914
2003-03-01,2839
2003-04-01,2917
2003-05-01,2901
2003-06-01,3199
2003-07-01,3232
2003-08-01,3074
2003-09-01,3080
2003-10-01,3049
2003-11-01,2924
2003-12-01,2842
2004-01-01,3084
2004-02-01,3030
2004-03-01,3102
2004-04-01,3099
2004-05-01,3079
2004-06-01,3311
2004-07-01,3188
2004-08-01,3114
2004-09-01,3027
2004-10-01,2890
2004-11-01,2860
2004-12-01,2778
2005-01-01,2981
2005-02-01,2917
2005-03-01,2935
2005-04-01,2957
2005-05-01,2923
2005-06-01,3217
2005-07-01,3141
2005-08-01,3126
2005-09-01,3112
2005-10-01,3112
2005-11-01,3061
2005-12-01,2945
2006-01-01,2985
2006-02-01,2975
2006-03-01,2964
2006-04-01,3042
2006-05-01,2985
2006-06-01,3304
2006-07-01,3251
2006-08-01,3229
2006-09-01,3184
2006-10-01,3005
2006-11-01,3100
2006-12-01,2947
2007-01-01,3024
2007-02-01,3059
2007-03-01,2962
2007-04-01,2954
2007-05-01,3007
2007-06-01,3078
2007-07-01,3115
2007-08-01,3081
2007-09-01,3070
2007-10-01,3055
2007-11-01,3097
2007-12-01,2979
2008-01-01,2999
2008-02-01,2826
2008-03-01,2707
2008-04-01,2602
2008-05-01,2786
2008-06-01,2939
2008-07-01,3107
2008-08-01,3039
2008-09-01,3040
2008-10-01,3050
2008-11-01,2900
2008-12-01,2898
2009-01-01,2932
2009-02-01,2920
2009-03-01,2915
2009-04-01,2860
2009-05-01,2874
2009-06-01,3076
2009-07-01,3278
2009-08-01,3431
2009-09-01,3478
2009-10-01,3387
2009-11-01,3142
2009-12-01,3001
2010-01-01,2124
2010-02-01,2088
2010-03-01,2100
2010-04-01,2044
2010-05-01,2111
2010-06-01,2175
2010-07-01,2195
2010-08-01,2212
2010-09-01,2197
2010-10-01,2163
2010-11-01,2178
2010-12-01,2138
2011-01-01,2093
2011-02-01,2129
2011-03-01,2141
2011-04-01,2164
2011-05-01,2197
2011-06-01,2273
2011-07-01,2237
2011-08-01,2235
2011-09-01,2169
2011-10-01,2239
2011-11-01,2188
2011-12-01,2179
2012-01-01,2096
2012-02-01,2147
2012-03-01,2161
2012-04-01,2092
2012-05-01,2197
2012-06-01,2220
2012-07-01,2217
2012-08-01,2200
2012-09-01,2191
2012-10-01,2136
2012-11-01,2089
2012-12-01,2061
2013-01-01,2057
2013-02-01,2031
2013-03-01,2079
2013-04-01,2080
2013-05-01,2165
2013-06-01,2227
2013-07-01,2185
2013-08-01,2166
2013-09-01,2132
2013-10-01,2081
2013-11-01,2046
2013-12-01,2004
2014-01-01,2050
2014-02-01,2074
2014-03-01,2112
2014-04-01,2072
2014-05-01,2138
2014-06-01,2200
2014-07-01,2195
2014-08-01,2215
2014-09-01,2168
2014-10-01,2125
2014-11-01,2160
2014-12-01,2081
2015-01-01,2075
2015-02-01,2135
2015-03-01,2167
2015-04-01,2126
2015-05-01,2212
2015-06-01,2277
2015-07-01,2255
2015-08-01,2176
2015-09-01,2134
2015-10-01,2139
2015-11-01,2156
2015-12-01,2177
2016-01-01,2202
2016-02-01,2215
2016-03-01,2199
2016-04-01,2179
2016-05-01,2311
2016-06-01,2349
2016-07-01,2397
2016-08-01,2334
2016-09-01,2263
2016-10-01,2296
2016-11-01,2315
2016-12-01,2298
2017-01-01,2265
2017-02-01,2225
2017-03-01,2238
2017-04-01,2303
2017-05-01,2339
2017-06-01,2438
2017-07-01,2412
2017-08-01,2392
2017-09-01,2375
2017-10-01,2458
2017-11-01,2427
2017-12-01,2426
2018-01-01,2358
2018-02-01,2335
2018-03-01,2338
2018-04-01,2356
2018-05-01,2459
2018-06-01,2493
2018-07-01,2510
2018-08-01,2427
2018-09-01,2524
2018-10-01,2506
2018-11-01,2507
2018-12-01,2464
2019-01-01,2375
2019-02-01,2328
2019-03-01,2317
2019-04-01,2359
2019-05-01,2414
2019-06-01,2423
2019-07-01,2483
2019-08-01,2372
2019-09-01,2379
2019-10-01,2504
2019-11-01,2431
2019-12-01,2435
2020-01-01,2334
2020-02-01,2344
2020-03-01,2239
2020-04-01,2295
2020-05-01,2266
2020-06-01,2354
2020-07-01,2322
2020-08-01,2309
2020-09-01,2310
