"Date","LAUCN120930000000004"
1990-01-01,1038
1990-02-01,937
1990-03-01,982
1990-04-01,973
1990-05-01,1077
1990-06-01,1229
1990-07-01,1389
1990-08-01,1466
1990-09-01,1371
1990-10-01,1289
1990-11-01,1244
1990-12-01,1115
1991-01-01,1218
1991-02-01,1078
1991-03-01,1043
1991-04-01,1041
1991-05-01,1257
1991-06-01,1607
1991-07-01,1712
1991-08-01,1702
1991-09-01,1704
1991-10-01,1585
1991-11-01,1581
1991-12-01,1441
1992-01-01,1581
1992-02-01,1556
1992-03-01,1573
1992-04-01,1427
1992-05-01,1697
1992-06-01,2086
1992-07-01,2141
1992-08-01,2078
1992-09-01,1985
1992-10-01,1790
1992-11-01,1741
1992-12-01,1587
1993-01-01,1673
1993-02-01,1527
1993-03-01,1456
1993-04-01,1344
1993-05-01,1380
1993-06-01,1692
1993-07-01,1917
1993-08-01,1776
1993-09-01,1776
1993-10-01,1709
1993-11-01,1647
1993-12-01,1415
1994-01-01,1623
1994-02-01,1492
1994-03-01,1424
1994-04-01,1417
1994-05-01,1370
1994-06-01,1874
1994-07-01,2123
1994-08-01,2116
1994-09-01,2116
1994-10-01,1917
1994-11-01,1668
1994-12-01,1280
1995-01-01,1383
1995-02-01,1117
1995-03-01,1150
1995-04-01,1172
1995-05-01,1285
1995-06-01,1780
1995-07-01,2091
1995-08-01,2018
1995-09-01,2080
1995-10-01,1814
1995-11-01,1706
1995-12-01,1464
1996-01-01,1720
1996-02-01,1558
1996-03-01,1638
1996-04-01,1381
1996-05-01,1372
1996-06-01,1915
1996-07-01,2228
1996-08-01,2043
1996-09-01,2110
1996-10-01,1879
1996-11-01,1795
1996-12-01,1550
1997-01-01,1816
1997-02-01,1520
1997-03-01,1425
1997-04-01,1303
1997-05-01,1282
1997-06-01,1644
1997-07-01,1695
1997-08-01,1853
1997-09-01,1873
1997-10-01,1702
1997-11-01,1397
1997-12-01,1278
1998-01-01,1393
1998-02-01,1244
1998-03-01,1285
1998-04-01,951
1998-05-01,1063
1998-06-01,1527
1998-07-01,1964
1998-08-01,1955
1998-09-01,1943
1998-10-01,1710
1998-11-01,1593
1998-12-01,1233
1999-01-01,1247
1999-02-01,1079
1999-03-01,937
1999-04-01,870
1999-05-01,908
1999-06-01,1617
1999-07-01,1794
1999-08-01,1780
1999-09-01,1724
1999-10-01,1507
1999-11-01,1356
1999-12-01,1062
2000-01-01,874
2000-02-01,758
2000-03-01,692
2000-04-01,615
2000-05-01,680
2000-06-01,883
2000-07-01,1045
2000-08-01,1117
2000-09-01,1070
2000-10-01,963
2000-11-01,847
2000-12-01,731
2001-01-01,854
2001-02-01,744
2001-03-01,714
2001-04-01,699
2001-05-01,696
2001-06-01,946
2001-07-01,1141
2001-08-01,1279
2001-09-01,1239
2001-10-01,1214
2001-11-01,1094
2001-12-01,956
2002-01-01,988
2002-02-01,882
2002-03-01,813
2002-04-01,770
2002-05-01,815
2002-06-01,995
2002-07-01,1241
2002-08-01,1270
2002-09-01,1184
2002-10-01,1115
2002-11-01,1012
2002-12-01,891
2003-01-01,922
2003-02-01,831
2003-03-01,778
2003-04-01,732
2003-05-01,815
2003-06-01,1006
