"Date","ALSUMT9LFN"
1990-01-01,5910
1990-02-01,5856
1990-03-01,5858
1990-04-01,5950
1990-05-01,6028
1990-06-01,6167
1990-07-01,6140
1990-08-01,6175
1990-09-01,6035
1990-10-01,6106
1990-11-01,6071
1990-12-01,5822
1991-01-01,5920
1991-02-01,5908
1991-03-01,5909
1991-04-01,5966
1991-05-01,5899
1991-06-01,6165
1991-07-01,6091
1991-08-01,5953
1991-09-01,5780
1991-10-01,5941
1991-11-01,5856
1991-12-01,5688
1992-01-01,5945
1992-02-01,5950
1992-03-01,5979
1992-04-01,6069
1992-05-01,6045
1992-06-01,6374
1992-07-01,6336
1992-08-01,6291
1992-09-01,6046
1992-10-01,6168
1992-11-01,6194
1992-12-01,5955
1993-01-01,6055
1993-02-01,6077
1993-03-01,6167
1993-04-01,6139
1993-05-01,6161
1993-06-01,6408
1993-07-01,6331
1993-08-01,6217
1993-09-01,6071
1993-10-01,6120
1993-11-01,6044
1993-12-01,5892
1994-01-01,6083
1994-02-01,6134
1994-03-01,6106
1994-04-01,6064
1994-05-01,6176
1994-06-01,6445
1994-07-01,6281
1994-08-01,6351
1994-09-01,6239
1994-10-01,6389
1994-11-01,6364
1994-12-01,6090
1995-01-01,6242
1995-02-01,6457
1995-03-01,6254
1995-04-01,6217
1995-05-01,6151
1995-06-01,6409
1995-07-01,6367
1995-08-01,6400
1995-09-01,6304
1995-10-01,6356
1995-11-01,6257
1995-12-01,6083
1996-01-01,6071
1996-02-01,6240
1996-03-01,6219
1996-04-01,6191
1996-05-01,6232
1996-06-01,6373
1996-07-01,6230
1996-08-01,6268
1996-09-01,6194
1996-10-01,6376
1996-11-01,6217
1996-12-01,5995
1997-01-01,6237
1997-02-01,6254
1997-03-01,6222
1997-04-01,6058
1997-05-01,6048
1997-06-01,6115
1997-07-01,6272
1997-08-01,6097
1997-09-01,5906
1997-10-01,5986
1997-11-01,5965
1997-12-01,5777
1998-01-01,5810
1998-02-01,5814
1998-03-01,5699
1998-04-01,5557
1998-05-01,5588
1998-06-01,5725
1998-07-01,5662
1998-08-01,5564
1998-09-01,5718
1998-10-01,5720
1998-11-01,5625
1998-12-01,5559
1999-01-01,5506
1999-02-01,5505
1999-03-01,5463
1999-04-01,5581
1999-05-01,5502
1999-06-01,5627
1999-07-01,5641
1999-08-01,5473
1999-09-01,5493
1999-10-01,5503
1999-11-01,5538
1999-12-01,5454
2000-01-01,5522
2000-02-01,5550
2000-03-01,5514
2000-04-01,5420
2000-05-01,5329
2000-06-01,5329
2000-07-01,5453
2000-08-01,5454
2000-09-01,5432
2000-10-01,5385
2000-11-01,5365
2000-12-01,5283
2001-01-01,5270
2001-02-01,5240
2001-03-01,5215
2001-04-01,5208
2001-05-01,5139
2001-06-01,5132
2001-07-01,5118
2001-08-01,5122
2001-09-01,5126
2001-10-01,5147
2001-11-01,5053
2001-12-01,5091
2002-01-01,5061
2002-02-01,5107
2002-03-01,5096
2002-04-01,5071
2002-05-01,5015
2002-06-01,5117
2002-07-01,5092
2002-08-01,5105
2002-09-01,5174
2002-10-01,5270
2002-11-01,5177
2002-12-01,5109
2003-01-01,5088
2003-02-01,5110
2003-03-01,5022
2003-04-01,5266
2003-05-01,5140
2003-06-01,5218
2003-07-01,5108
2003-08-01,5121
2003-09-01,5112
2003-10-01,5193
2003-11-01,5143
2003-12-01,5027
2004-01-01,4984
2004-02-01,4971
2004-03-01,5013
2004-04-01,5089
2004-05-01,4939
2004-06-01,5088
2004-07-01,5027
2004-08-01,5059
2004-09-01,4961
2004-10-01,4930
2004-11-01,4842
2004-12-01,4793
2005-01-01,4854
2005-02-01,4808
2005-03-01,4757
2005-04-01,4814
2005-05-01,4757
2005-06-01,4851
2005-07-01,4816
2005-08-01,4923
2005-09-01,4928
2005-10-01,4971
2005-11-01,4889
2005-12-01,4840
2006-01-01,4812
2006-02-01,4783
2006-03-01,4724
2006-04-01,4738
2006-05-01,4673
2006-06-01,4751
2006-07-01,4850
2006-08-01,4833
2006-09-01,4941
2006-10-01,4865
2006-11-01,4826
2006-12-01,4742
2007-01-01,4694
2007-02-01,4707
2007-03-01,4751
2007-04-01,4752
2007-05-01,4721
2007-06-01,4749
2007-07-01,4958
2007-08-01,4868
2007-09-01,4855
2007-10-01,4890
2007-11-01,4814
2007-12-01,4736
2008-01-01,4770
2008-02-01,4695
2008-03-01,4735
2008-04-01,4663
2008-05-01,4626
2008-06-01,4767
2008-07-01,4737
2008-08-01,4795
2008-09-01,4746
2008-10-01,4770
2008-11-01,4731
2008-12-01,4696
2009-01-01,4755
2009-02-01,4714
2009-03-01,4682
2009-04-01,4749
2009-05-01,4731
2009-06-01,4869
2009-07-01,4660
2009-08-01,4707
2009-09-01,4740
2009-10-01,4809
2009-11-01,4681
2009-12-01,4666
2010-01-01,5647
2010-02-01,5607
2010-03-01,5594
2010-04-01,5704
2010-05-01,5643
2010-06-01,5767
2010-07-01,5928
2010-08-01,6029
2010-09-01,6069
2010-10-01,5841
2010-11-01,5729
2010-12-01,5729
2011-01-01,5626
2011-02-01,5596
2011-03-01,5626
2011-04-01,5502
2011-05-01,5510
2011-06-01,5601
2011-07-01,5576
2011-08-01,5507
2011-09-01,5547
2011-10-01,5598
2011-11-01,5483
2011-12-01,5478
2012-01-01,5428
2012-02-01,5404
2012-03-01,5490
2012-04-01,5454
2012-05-01,5411
2012-06-01,5500
2012-07-01,5409
2012-08-01,5314
2012-09-01,5412
2012-10-01,5470
2012-11-01,5391
2012-12-01,5417
2013-01-01,5512
2013-02-01,5425
2013-03-01,5456
2013-04-01,5382
2013-05-01,5382
2013-06-01,5519
2013-07-01,5600
2013-08-01,5527
2013-09-01,5525
2013-10-01,5475
2013-11-01,5350
2013-12-01,5357
2014-01-01,5434
2014-02-01,5615
2014-03-01,5661
2014-04-01,5458
2014-05-01,5386
2014-06-01,5438
2014-07-01,5250
2014-08-01,5211
2014-09-01,5321
2014-10-01,5354
2014-11-01,5233
2014-12-01,5205
2015-01-01,5104
2015-02-01,5076
2015-03-01,5290
2015-04-01,5176
2015-05-01,5130
2015-06-01,5133
2015-07-01,5119
2015-08-01,5056
2015-09-01,5063
2015-10-01,5060
2015-11-01,4987
2015-12-01,4955
2016-01-01,4989
2016-02-01,5025
2016-03-01,5096
2016-04-01,5022
2016-05-01,5025
2016-06-01,5106
2016-07-01,5075
2016-08-01,5039
2016-09-01,5148
2016-10-01,5158
2016-11-01,5103
2016-12-01,5039
2017-01-01,5162
2017-02-01,5190
2017-03-01,5151
2017-04-01,5043
2017-05-01,4932
2017-06-01,5083
2017-07-01,5054
2017-08-01,4929
2017-09-01,4938
2017-10-01,4967
2017-11-01,4982
2017-12-01,4875
2018-01-01,4855
2018-02-01,4871
2018-03-01,4939
2018-04-01,4820
2018-05-01,4816
2018-06-01,4984
2018-07-01,4939
2018-08-01,4875
2018-09-01,4845
2018-10-01,4915
2018-11-01,4761
2018-12-01,4845
2019-01-01,4768
2019-02-01,4798
2019-03-01,4855
2019-04-01,4852
2019-05-01,4803
2019-06-01,4859
2019-07-01,4888
2019-08-01,4822
2019-09-01,4890
2019-10-01,4868
2019-11-01,4789
2019-12-01,4826
2020-01-01,4649
2020-02-01,4693
2020-03-01,4713
2020-04-01,4699
2020-05-01,4777
2020-06-01,4804
2020-07-01,4887
2020-08-01,4899
2020-09-01,4960
2020-10-01,4800
2020-11-01,4823
2020-12-01,4682
2021-01-01,4594
2021-02-01,4563
2021-03-01,4508
2021-04-01,4540
2021-05-01,4485
2021-06-01,4449
2021-07-01,4539
2021-08-01,4567
2021-09-01,4512
2021-10-01,4741
2021-11-01,4559
2021-12-01,4537
2022-01-01,4475
2022-02-01,4500
2022-03-01,4615
2022-04-01,4538
2022-05-01,4421
2022-06-01,4683
2022-07-01,4691
2022-08-01,4670
2022-09-01,4653
2022-10-01,4709
2022-11-01,4623
2022-12-01,4588
2023-01-01,4523
2023-02-01,4487
2023-03-01,4480
2023-04-01,4480
2023-05-01,4441
2023-06-01,4411
2023-07-01,4438
2023-08-01,4466
2023-09-01,4751
2023-10-01,4795
