"Date","LASMT261982000000006"
1990-01-01,2113499
1990-02-01,2113301
1990-03-01,2113096
1990-04-01,2112714
1990-05-01,2112430
1990-06-01,2112183
1990-07-01,2111472
1990-08-01,2110380
1990-09-01,2108747
1990-10-01,2107695
1990-11-01,2108327
1990-12-01,2110311
1991-01-01,2112986
1991-02-01,2115496
1991-03-01,2116153
1991-04-01,2114355
1991-05-01,2111169
1991-06-01,2108179
1991-07-01,2106727
1991-08-01,2108074
1991-09-01,2112514
1991-10-01,2119123
1991-11-01,2126656
1991-12-01,2133963
1992-01-01,2140294
1992-02-01,2145852
1992-03-01,2151774
1992-04-01,2158406
1992-05-01,2164634
1992-06-01,2169153
1992-07-01,2171459
1992-08-01,2170927
1992-09-01,2167001
1992-10-01,2160241
1992-11-01,2151926
1992-12-01,2144242
1993-01-01,2139421
1993-02-01,2138396
1993-03-01,2140602
1993-04-01,2144749
1993-05-01,2149763
1993-06-01,2154676
1993-07-01,2158347
1993-08-01,2161016
1993-09-01,2164033
1993-10-01,2167656
1993-11-01,2171139
1993-12-01,2173188
1994-01-01,2172232
1994-02-01,2167501
1994-03-01,2160173
1994-04-01,2152599
1994-05-01,2147122
1994-06-01,2145117
1994-07-01,2146495
1994-08-01,2149746
1994-09-01,2153049
1994-10-01,2155301
1994-11-01,2156572
1994-12-01,2157335
1995-01-01,2158517
1995-02-01,2161164
1995-03-01,2165381
1995-04-01,2170251
1995-05-01,2174806
1995-06-01,2178362
1995-07-01,2180857
1995-08-01,2182481
1995-09-01,2183785
1995-10-01,2185898
1995-11-01,2189400
1995-12-01,2194381
1996-01-01,2200561
1996-02-01,2207174
1996-03-01,2213361
1996-04-01,2218285
1996-05-01,2221612
1996-06-01,2223646
1996-07-01,2225164
1996-08-01,2226769
1996-09-01,2228152
1996-10-01,2228698
1996-11-01,2228360
1996-12-01,2227425
1997-01-01,2226004
1997-02-01,2224507
1997-03-01,2223631
1997-04-01,2224476
1997-05-01,2227134
1997-06-01,2230995
1997-07-01,2235275
1997-08-01,2239217
1997-09-01,2242549
1997-10-01,2245224
