"Date","MOAULFN"
1990-01-01,11024
1990-02-01,11026
1990-03-01,11137
1990-04-01,11243
1990-05-01,11458
1990-06-01,11725
1990-07-01,11186
1990-08-01,11137
1990-09-01,10985
1990-10-01,11337
1990-11-01,11303
1990-12-01,11262
1991-01-01,11515
1991-02-01,11445
1991-03-01,11434
1991-04-01,11564
1991-05-01,11554
1991-06-01,11708
1991-07-01,11616
1991-08-01,11243
1991-09-01,11364
1991-10-01,11241
1991-11-01,11241
1991-12-01,11213
1992-01-01,11428
1992-02-01,11273
1992-03-01,11314
1992-04-01,11403
1992-05-01,11429
1992-06-01,11776
1992-07-01,11825
1992-08-01,11508
1992-09-01,11475
1992-10-01,11568
1992-11-01,11530
1992-12-01,11541
1993-01-01,11433
1993-02-01,11534
1993-03-01,11577
1993-04-01,11549
1993-05-01,11840
1993-06-01,12221
1993-07-01,12178
1993-08-01,11892
1993-09-01,12117
1993-10-01,12176
1993-11-01,12058
1993-12-01,12114
1994-01-01,12393
1994-02-01,12346
1994-03-01,12253
1994-04-01,12262
1994-05-01,12371
1994-06-01,12479
1994-07-01,12209
1994-08-01,11989
1994-09-01,12149
1994-10-01,12449
1994-11-01,12575
1994-12-01,12552
1995-01-01,12555
1995-02-01,12409
1995-03-01,12482
1995-04-01,12414
1995-05-01,12570
1995-06-01,12863
1995-07-01,12519
1995-08-01,12535
1995-09-01,12287
1995-10-01,12382
1995-11-01,12343
1995-12-01,12375
1996-01-01,12388
1996-02-01,12470
1996-03-01,12585
1996-04-01,12538
1996-05-01,12618
1996-06-01,12932
1996-07-01,12715
1996-08-01,12501
1996-09-01,12403
1996-10-01,12803
1996-11-01,12675
1996-12-01,12728
1997-01-01,13298
1997-02-01,13309
1997-03-01,13417
1997-04-01,13358
1997-05-01,13437
1997-06-01,13577
1997-07-01,13682
1997-08-01,13338
1997-09-01,13217
1997-10-01,13195
1997-11-01,13221
1997-12-01,13340
1998-01-01,12970
1998-02-01,12901
1998-03-01,13135
1998-04-01,13084
1998-05-01,13121
1998-06-01,13436
1998-07-01,14169
1998-08-01,13564
1998-09-01,13415
1998-10-01,13465
1998-11-01,13523
1998-12-01,13612
1999-01-01,13337
1999-02-01,13169
1999-03-01,13307
1999-04-01,13131
1999-05-01,13309
1999-06-01,13623
1999-07-01,13559
1999-08-01,13284
1999-09-01,13299
1999-10-01,13300
1999-11-01,13229
1999-12-01,13284
2000-01-01,12945
2000-02-01,13018
2000-03-01,13048
2000-04-01,13158
2000-05-01,13170
2000-06-01,13203
2000-07-01,12994
2000-08-01,13017
2000-09-01,13083
2000-10-01,13353
2000-11-01,13464
2000-12-01,13492
2001-01-01,13498
2001-02-01,13686
2001-03-01,13508
2001-04-01,13151
2001-05-01,13143
2001-06-01,13090
2001-07-01,12893
2001-08-01,12961
2001-09-01,12958
2001-10-01,13005
2001-11-01,12944
2001-12-01,12840
2002-01-01,12814
2002-02-01,12777
2002-03-01,12631
2002-04-01,12455
2002-05-01,12180
2002-06-01,12385
2002-07-01,12533
2002-08-01,12106
2002-09-01,12121
2002-10-01,12197
2002-11-01,12182
2002-12-01,12090
2003-01-01,12226
2003-02-01,12141
2003-03-01,12149
2003-04-01,12021
2003-05-01,11844
2003-06-01,12113
2003-07-01,12003
2003-08-01,11634
2003-09-01,11667
2003-10-01,11726
2003-11-01,11786
2003-12-01,11709
2004-01-01,11650
2004-02-01,11674
2004-03-01,11655
2004-04-01,11821
2004-05-01,11731
2004-06-01,11978
2004-07-01,11842
2004-08-01,11608
2004-09-01,11674
2004-10-01,11817
2004-11-01,11886
2004-12-01,11799
2005-01-01,11911
2005-02-01,11910
2005-03-01,11861
2005-04-01,12087
2005-05-01,12194
2005-06-01,12265
2005-07-01,12371
2005-08-01,11966
2005-09-01,11865
2005-10-01,12380
2005-11-01,12382
2005-12-01,12388
2006-01-01,11952
2006-02-01,11945
2006-03-01,11983
2006-04-01,12217
2006-05-01,12194
2006-06-01,12154
2006-07-01,12222
2006-08-01,12073
2006-09-01,11946
2006-10-01,12281
2006-11-01,12280
2006-12-01,12261
2007-01-01,12196
2007-02-01,12241
2007-03-01,12269
2007-04-01,12328
2007-05-01,12399
2007-06-01,12575
2007-07-01,12460
2007-08-01,12205
2007-09-01,12326
2007-10-01,12677
2007-11-01,12502
2007-12-01,12480
2008-01-01,12634
2008-02-01,12521
2008-03-01,12512
2008-04-01,12516
2008-05-01,12620
2008-06-01,12626
2008-07-01,12631
2008-08-01,12453
2008-09-01,12312
2008-10-01,12616
2008-11-01,12536
2008-12-01,12566
2009-01-01,12451
2009-02-01,12388
2009-03-01,12455
2009-04-01,12350
2009-05-01,12271
2009-06-01,12327
2009-07-01,12406
2009-08-01,12110
2009-09-01,11925
2009-10-01,12004
2009-11-01,11971
2009-12-01,11892
2010-01-01,11069
2010-02-01,11114
2010-03-01,11137
2010-04-01,11073
2010-05-01,11099
2010-06-01,11166
2010-07-01,11136
2010-08-01,10942
2010-09-01,11037
2010-10-01,11108
2010-11-01,11113
2010-12-01,11089
2011-01-01,11216
2011-02-01,11227
2011-03-01,11245
2011-04-01,11233
2011-05-01,11248
2011-06-01,11372
2011-07-01,11281
2011-08-01,11100
2011-09-01,11176
2011-10-01,11316
2011-11-01,11148
2011-12-01,11328
2012-01-01,11165
2012-02-01,11224
2012-03-01,11252
2012-04-01,11196
2012-05-01,11266
2012-06-01,11342
2012-07-01,11235
2012-08-01,10960
2012-09-01,11123
2012-10-01,11523
2012-11-01,11497
2012-12-01,11519
2013-01-01,11349
2013-02-01,11227
2013-03-01,11197
2013-04-01,11196
2013-05-01,11327
2013-06-01,11276
2013-07-01,11180
2013-08-01,10869
2013-09-01,11038
2013-10-01,11111
2013-11-01,11233
2013-12-01,11430
2014-01-01,11315
2014-02-01,11231
2014-03-01,11224
2014-04-01,11093
2014-05-01,11133
2014-06-01,11213
2014-07-01,11202
2014-08-01,10901
2014-09-01,11085
2014-10-01,11250
2014-11-01,11302
2014-12-01,11396
2015-01-01,11280
2015-02-01,11210
2015-03-01,11201
2015-04-01,11258
2015-05-01,11246
2015-06-01,11371
2015-07-01,11337
2015-08-01,11006
2015-09-01,11141
2015-10-01,11257
2015-11-01,11305
2015-12-01,11284
2016-01-01,11186
2016-02-01,11176
2016-03-01,11264
2016-04-01,11166
2016-05-01,11106
2016-06-01,11259
2016-07-01,11174
2016-08-01,10962
2016-09-01,11055
2016-10-01,10965
2016-11-01,11103
2016-12-01,11029
2017-01-01,11057
2017-02-01,11217
2017-03-01,11243
2017-04-01,11377
2017-05-01,11203
2017-06-01,11182
2017-07-01,10947
2017-08-01,10868
2017-09-01,10942
2017-10-01,10885
2017-11-01,10960
2017-12-01,10904
2018-01-01,10869
2018-02-01,10947
2018-03-01,10931
2018-04-01,10975
2018-05-01,10902
2018-06-01,10757
2018-07-01,10692
2018-08-01,10604
2018-09-01,10632
2018-10-01,10760
2018-11-01,10714
2018-12-01,10608
2019-01-01,10699
2019-02-01,10722
2019-03-01,10723
2019-04-01,10759
2019-05-01,10786
2019-06-01,10642
2019-07-01,10598
2019-08-01,10294
2019-09-01,10460
2019-10-01,10640
2019-11-01,10542
2019-12-01,10502
2020-01-01,10507
2020-02-01,10502
2020-03-01,10351
2020-04-01,10136
2020-05-01,9913
2020-06-01,10357
2020-07-01,10275
2020-08-01,10125
2020-09-01,10177
2020-10-01,10424
2020-11-01,10280
2020-12-01,10301
2021-01-01,10244
2021-02-01,10251
2021-03-01,10147
2021-04-01,10205
2021-05-01,10296
2021-06-01,10390
2021-07-01,10178
2021-08-01,9889
2021-09-01,10093
2021-10-01,10041
2021-11-01,9964
2021-12-01,10030
2022-01-01,10027
2022-02-01,10044
2022-03-01,10013
2022-04-01,10052
2022-05-01,10100
2022-06-01,10162
2022-07-01,9901
2022-08-01,9529
2022-09-01,9897
2022-10-01,9806
2022-11-01,9797
2022-12-01,9956
2023-01-01,9825
2023-02-01,9925
2023-03-01,9725
2023-04-01,9821
2023-05-01,9763
2023-06-01,9951
2023-07-01,9647
2023-08-01,9371
2023-09-01,9799
2023-10-01,9656
