"Date","KYGARR9LFN"
1990-01-01,5662
1990-02-01,5794
1990-03-01,5766
1990-04-01,5616
1990-05-01,5698
1990-06-01,5756
1990-07-01,5661
1990-08-01,5694
1990-09-01,5662
1990-10-01,5646
1990-11-01,5601
1990-12-01,5497
1991-01-01,5516
1991-02-01,5555
1991-03-01,5595
1991-04-01,5654
1991-05-01,5725
1991-06-01,5896
1991-07-01,5862
1991-08-01,5729
1991-09-01,5704
1991-10-01,5696
1991-11-01,5773
1991-12-01,5738
1992-01-01,5845
1992-02-01,5741
1992-03-01,5804
1992-04-01,5778
1992-05-01,6001
1992-06-01,6182
1992-07-01,6255
1992-08-01,6295
1992-09-01,6158
1992-10-01,6045
1992-11-01,6234
1992-12-01,6218
1993-01-01,6187
1993-02-01,6078
1993-03-01,6159
1993-04-01,5987
1993-05-01,6177
1993-06-01,6313
1993-07-01,6322
1993-08-01,6270
1993-09-01,6204
1993-10-01,6170
1993-11-01,6100
1993-12-01,6295
1994-01-01,6242
1994-02-01,6252
1994-03-01,6237
1994-04-01,6317
1994-05-01,6284
1994-06-01,6301
1994-07-01,6253
1994-08-01,6306
1994-09-01,6294
1994-10-01,6341
1994-11-01,6358
1994-12-01,6291
1995-01-01,6306
1995-02-01,6295
1995-03-01,6404
1995-04-01,6362
1995-05-01,6369
1995-06-01,6439
1995-07-01,6484
1995-08-01,6411
1995-09-01,6289
1995-10-01,6297
1995-11-01,6289
1995-12-01,6394
1996-01-01,6543
1996-02-01,6462
1996-03-01,6590
1996-04-01,6468
1996-05-01,6574
1996-06-01,6588
1996-07-01,6627
1996-08-01,6525
1996-09-01,6433
1996-10-01,6595
1996-11-01,6623
1996-12-01,6724
1997-01-01,6628
1997-02-01,6556
1997-03-01,6674
1997-04-01,6596
1997-05-01,6653
1997-06-01,6775
1997-07-01,6890
1997-08-01,6992
1997-09-01,6964
1997-10-01,6948
1997-11-01,7015
1997-12-01,6934
1998-01-01,6964
1998-02-01,6965
1998-03-01,7119
1998-04-01,7146
1998-05-01,7258
1998-06-01,7338
1998-07-01,7413
1998-08-01,7405
1998-09-01,7362
1998-10-01,7401
1998-11-01,7410
1998-12-01,7361
1999-01-01,7425
1999-02-01,7504
1999-03-01,7621
1999-04-01,7596
1999-05-01,7577
1999-06-01,7538
1999-07-01,7431
1999-08-01,7297
1999-09-01,7266
1999-10-01,7378
1999-11-01,7521
1999-12-01,7579
2000-01-01,7333
2000-02-01,7414
2000-03-01,7494
2000-04-01,7459
2000-05-01,7575
2000-06-01,7732
2000-07-01,7771
2000-08-01,7726
2000-09-01,7535
2000-10-01,7652
2000-11-01,7594
2000-12-01,7523
2001-01-01,7485
2001-02-01,7541
2001-03-01,7581
2001-04-01,7571
2001-05-01,7617
2001-06-01,7717
2001-07-01,7716
2001-08-01,7705
2001-09-01,7495
2001-10-01,7387
2001-11-01,7360
2001-12-01,7404
2002-01-01,7389
2002-02-01,7434
2002-03-01,7443
2002-04-01,7320
2002-05-01,7315
2002-06-01,7338
2002-07-01,7270
2002-08-01,7281
2002-09-01,7344
2002-10-01,7524
2002-11-01,7444
2002-12-01,7513
2003-01-01,7744
2003-02-01,7854
2003-03-01,8081
2003-04-01,8044
2003-05-01,7964
2003-06-01,8101
2003-07-01,7977
2003-08-01,8050
2003-09-01,8098
2003-10-01,7952
2003-11-01,7914
2003-12-01,7728
2004-01-01,7415
2004-02-01,7390
2004-03-01,7490
2004-04-01,7420
2004-05-01,7430
2004-06-01,7629
2004-07-01,7497
2004-08-01,7429
2004-09-01,7439
2004-10-01,7402
2004-11-01,7427
2004-12-01,7392
2005-01-01,7403
2005-02-01,7477
2005-03-01,7447
2005-04-01,7508
2005-05-01,7535
2005-06-01,7612
2005-07-01,7598
2005-08-01,7482
2005-09-01,7524
2005-10-01,7398
2005-11-01,7470
2005-12-01,7447
2006-01-01,7440
2006-02-01,7499
2006-03-01,7641
2006-04-01,7509
2006-05-01,7518
2006-06-01,7607
2006-07-01,7700
2006-08-01,7608
2006-09-01,7621
2006-10-01,7704
2006-11-01,7751
2006-12-01,7752
2007-01-01,7697
2007-02-01,7695
2007-03-01,7746
2007-04-01,7700
2007-05-01,7766
2007-06-01,7851
2007-07-01,7754
2007-08-01,7613
2007-09-01,7653
2007-10-01,7624
2007-11-01,7669
2007-12-01,7603
2008-01-01,7504
2008-02-01,7397
2008-03-01,7529
2008-04-01,7547
2008-05-01,7673
2008-06-01,7776
2008-07-01,7667
2008-08-01,7570
2008-09-01,7535
2008-10-01,7704
2008-11-01,7660
2008-12-01,7675
2009-01-01,7638
2009-02-01,7640
2009-03-01,7724
2009-04-01,7790
2009-05-01,7838
2009-06-01,7986
2009-07-01,7927
2009-08-01,7769
2009-09-01,7711
2009-10-01,7717
2009-11-01,7698
2009-12-01,7686
2010-01-01,7832
2010-02-01,7874
2010-03-01,7990
2010-04-01,8030
2010-05-01,7981
2010-06-01,8046
2010-07-01,7995
2010-08-01,7985
2010-09-01,7993
2010-10-01,7984
2010-11-01,7999
2010-12-01,8016
2011-01-01,7844
2011-02-01,7878
2011-03-01,7943
2011-04-01,7861
2011-05-01,7885
2011-06-01,7959
2011-07-01,7757
2011-08-01,7707
2011-09-01,7800
2011-10-01,7769
2011-11-01,7764
2011-12-01,7774
2012-01-01,7632
2012-02-01,7628
2012-03-01,7692
2012-04-01,7667
2012-05-01,7756
2012-06-01,7916
2012-07-01,7806
2012-08-01,7735
2012-09-01,7769
2012-10-01,7789
2012-11-01,7833
2012-12-01,7843
2013-01-01,7758
2013-02-01,7718
2013-03-01,7794
2013-04-01,7745
2013-05-01,7742
2013-06-01,7890
2013-07-01,7806
2013-08-01,7707
2013-09-01,7710
2013-10-01,7659
2013-11-01,7724
2013-12-01,7701
2014-01-01,7654
2014-02-01,7598
2014-03-01,7651
2014-04-01,7620
2014-05-01,7655
2014-06-01,7738
2014-07-01,7579
2014-08-01,7561
2014-09-01,7469
2014-10-01,7543
2014-11-01,7546
2014-12-01,7493
2015-01-01,7388
2015-02-01,7453
2015-03-01,7510
2015-04-01,7517
2015-05-01,7571
2015-06-01,7690
2015-07-01,7425
2015-08-01,7351
2015-09-01,7432
2015-10-01,7457
2015-11-01,7588
2015-12-01,7515
2016-01-01,7487
2016-02-01,7550
2016-03-01,7576
2016-04-01,7491
2016-05-01,7524
2016-06-01,7653
2016-07-01,7427
2016-08-01,7419
2016-09-01,7511
2016-10-01,7526
2016-11-01,7556
2016-12-01,7603
2017-01-01,7534
2017-02-01,7600
2017-03-01,7672
2017-04-01,7706
2017-05-01,7693
2017-06-01,7761
2017-07-01,7634
2017-08-01,7550
2017-09-01,7690
2017-10-01,7698
2017-11-01,7688
2017-12-01,7678
2018-01-01,7611
2018-02-01,7671
2018-03-01,7764
2018-04-01,7719
2018-05-01,7757
2018-06-01,7820
2018-07-01,7610
2018-08-01,7503
2018-09-01,7566
2018-10-01,7567
2018-11-01,7600
2018-12-01,7630
2019-01-01,7662
2019-02-01,7669
2019-03-01,7731
2019-04-01,7756
2019-05-01,7774
2019-06-01,7792
2019-07-01,7652
2019-08-01,7567
2019-09-01,7703
2019-10-01,7770
2019-11-01,7735
2019-12-01,7759
2020-01-01,7716
2020-02-01,7716
2020-03-01,7677
2020-04-01,7635
2020-05-01,7645
2020-06-01,7344
2020-07-01,7269
2020-08-01,7392
2020-09-01,7453
2020-10-01,7502
2020-11-01,7432
2020-12-01,7410
2021-01-01,7383
2021-02-01,7453
2021-03-01,7525
2021-04-01,7583
2021-05-01,7609
2021-06-01,7696
2021-07-01,7592
2021-08-01,7530
2021-09-01,7639
2021-10-01,7748
2021-11-01,7691
2021-12-01,7755
2022-01-01,7736
2022-02-01,7770
2022-03-01,7869
2022-04-01,7888
2022-05-01,7895
2022-06-01,7992
2022-07-01,7942
2022-08-01,7930
2022-09-01,7982
2022-10-01,8008
2022-11-01,7945
2022-12-01,7956
2023-01-01,7979
2023-02-01,8009
2023-03-01,8016
2023-04-01,8102
2023-05-01,8133
2023-06-01,8175
2023-07-01,8005
2023-08-01,7961
2023-09-01,8010
2023-10-01,8017
