"Date","NETHOM1LFN"
2019-06-01,442
2019-07-01,433
2019-08-01,413
2019-09-01,418
2019-10-01,422
2019-11-01,454
2019-12-01,454
2020-01-01,467
2020-02-01,455
2020-03-01,469
2020-04-01,443
2020-05-01,429
2020-06-01,436
2020-07-01,401
2020-08-01,394
2020-09-01,395
2020-10-01,424
2020-11-01,435
2020-12-01,436
2021-01-01,477
2021-02-01,438
2021-03-01,442
2021-04-01,429
2021-05-01,416
2021-06-01,446
2021-07-01,427
2021-08-01,418
2021-09-01,415
2021-10-01,420
2021-11-01,432
2021-12-01,455
2022-01-01,474
2022-02-01,469
2022-03-01,459
2022-04-01,460
2022-05-01,452
2022-06-01,469
2022-07-01,478
2022-08-01,466
2022-09-01,448
2022-10-01,436
2022-11-01,443
2022-12-01,454
2023-01-01,469
2023-02-01,456
2023-03-01,439
2023-04-01,445
2023-05-01,439
2023-06-01,455
2023-07-01,409
2023-08-01,413
2023-09-01,420
2023-10-01,411
