"Date","LNU03032231"
2000-01-01,745
2000-02-01,812
2000-03-01,669
2000-04-01,447
2000-05-01,397
2000-06-01,389
2000-07-01,384
2000-08-01,446
2000-09-01,386
2000-10-01,417
2000-11-01,482
2000-12-01,580
2001-01-01,836
2001-02-01,826
2001-03-01,683
2001-04-01,596
2001-05-01,478
2001-06-01,443
2001-07-01,447
2001-08-01,522
2001-09-01,489
2001-10-01,535
2001-11-01,670
2001-12-01,785
2002-01-01,1211
2002-02-01,1060
2002-03-01,1009
2002-04-01,855
2002-05-01,626
2002-06-01,593
2002-07-01,594
2002-08-01,654
2002-09-01,615
2002-10-01,680
2002-11-01,758
2002-12-01,941
2003-01-01,1196
2003-02-01,1173
2003-03-01,987
2003-04-01,772
2003-05-01,715
2003-06-01,710
2003-07-01,677
2003-08-01,650
2003-09-01,681
2003-10-01,651
2003-11-01,690
2003-12-01,813
2004-01-01,994
2004-02-01,1039
2004-03-01,1011
2004-04-01,849
2004-05-01,665
2004-06-01,668
2004-07-01,610
2004-08-01,563
2004-09-01,629
2004-10-01,635
2004-11-01,695
2004-12-01,870
2005-01-01,1079
2005-02-01,1150
2005-03-01,961
2005-04-01,693
2005-05-01,567
2005-06-01,559
2005-07-01,509
2005-08-01,561
2005-09-01,572
2005-10-01,519
2005-11-01,564
2005-12-01,813
2006-01-01,868
2006-02-01,836
2006-03-01,820
2006-04-01,674
2006-05-01,647
2006-06-01,569
2006-07-01,633
2006-08-01,618
2006-09-01,586
2006-10-01,456
2006-11-01,618
2006-12-01,725
2007-01-01,922
2007-02-01,1086
2007-03-01,924
2007-04-01,853
2007-05-01,676
2007-06-01,600
2007-07-01,617
2007-08-01,558
2007-09-01,596
2007-10-01,641
2007-11-01,645
2007-12-01,968
2008-01-01,1099
2008-02-01,1118
2008-03-01,1170
2008-04-01,1057
2008-05-01,809
2008-06-01,785
2008-07-01,783
2008-08-01,814
2008-09-01,970
2008-10-01,1078
2008-11-01,1237
2008-12-01,1438
2009-01-01,1744
2009-02-01,2025
2009-03-01,1979
2009-04-01,1737
2009-05-01,1768
2009-06-01,1601
2009-07-01,1687
2009-08-01,1542
2009-09-01,1594
2009-10-01,1744
2009-11-01,1780
2009-12-01,2044
2010-01-01,2194
2010-02-01,2440
2010-03-01,2251
2010-04-01,1919
2010-05-01,1755
2010-06-01,1785
2010-07-01,1528
2010-08-01,1483
2010-09-01,1464
2010-10-01,1445
2010-11-01,1596
2010-12-01,1749
2011-01-01,1879
2011-02-01,1883
2011-03-01,1695
2011-04-01,1501
2011-05-01,1367
2011-06-01,1317
2011-07-01,1137
2011-08-01,1154
2011-09-01,1110
2011-10-01,1129
2011-11-01,1100
2011-12-01,1327
2012-01-01,1479
2012-02-01,1404
2012-03-01,1431
2012-04-01,1156
2012-05-01,1150
2012-06-01,1039
2012-07-01,994
2012-08-01,923
2012-09-01,954
2012-10-01,930
2012-11-01,988
2012-12-01,1105
2013-01-01,1322
2013-02-01,1291
2013-03-01,1195
2013-04-01,1077
2013-05-01,891
2013-06-01,825
2013-07-01,767
2013-08-01,758
2013-09-01,697
2013-10-01,733
2013-11-01,706
2013-12-01,958
2014-01-01,1045
2014-02-01,1098
2014-03-01,950
2014-04-01,796
2014-05-01,747
2014-06-01,710
2014-07-01,666
2014-08-01,678
2014-09-01,604
2014-10-01,542
2014-11-01,629
2014-12-01,680
2015-01-01,811
2015-02-01,906
2015-03-01,831
2015-04-01,652
2015-05-01,569
2015-06-01,522
2015-07-01,474
2015-08-01,525
2015-09-01,479
2015-10-01,534
2015-11-01,536
2015-12-01,645
2016-01-01,729
2016-02-01,749
2016-03-01,768
2016-04-01,530
2016-05-01,461
2016-06-01,417
2016-07-01,410
2016-08-01,454
2016-09-01,474
2016-10-01,512
2016-11-01,517
2016-12-01,670
2017-01-01,859
2017-02-01,781
2017-03-01,764
2017-04-01,585
2017-05-01,502
2017-06-01,430
2017-07-01,469
2017-08-01,448
2017-09-01,433
2017-10-01,418
2017-11-01,467
2017-12-01,554
2018-01-01,707
2018-02-01,732
2018-03-01,696
2018-04-01,623
2018-05-01,415
2018-06-01,466
2018-07-01,333
2018-08-01,328
2018-09-01,412
2018-10-01,352
2018-11-01,375
2018-12-01,493
2019-01-01,638
2019-02-01,588
2019-03-01,490
2019-04-01,439
2019-05-01,294
2019-06-01,390
2019-07-01,386
2019-08-01,361
2019-09-01,319
2019-10-01,398
2019-11-01,428
2019-12-01,489
2020-01-01,515
2020-02-01,531
2020-03-01,658
2020-04-01,1531
2020-05-01,1187
2020-06-01,962
2020-07-01,870
2020-08-01,762
2020-09-01,700
2020-10-01,674
2020-11-01,732
2020-12-01,930
2021-01-01,938
2021-02-01,921
2021-03-01,835
2021-04-01,768
2021-05-01,642
2021-06-01,730
2021-07-01,592
2021-08-01,448
2021-09-01,444
2021-10-01,398
2021-11-01,469
2021-12-01,497
2022-01-01,709
2022-02-01,677
2022-03-01,598
2022-04-01,464
2022-05-01,392
2022-06-01,385
2022-07-01,359
2022-08-01,401
2022-09-01,346
2022-10-01,419
2022-11-01,393
2022-12-01,443
2023-01-01,720
2023-02-01,708
2023-03-01,598
2023-04-01,424
2023-05-01,355
2023-06-01,381
2023-07-01,410
2023-08-01,424
2023-09-01,392
2023-10-01,414
2023-11-01,496
