"Date","LAUCN090130000000005"
1990-01-01,70620
1990-02-01,70780
1990-03-01,71541
1990-04-01,71718
1990-05-01,71920
1990-06-01,72822
1990-07-01,73081
1990-08-01,72263
1990-09-01,71368
1990-10-01,71995
1990-11-01,71340
1990-12-01,71030
1991-01-01,70666
1991-02-01,70596
1991-03-01,70990
1991-04-01,70974
1991-05-01,70687
1991-06-01,71645
1991-07-01,71704
1991-08-01,70988
1991-09-01,70297
1991-10-01,70650
1991-11-01,70495
1991-12-01,69851
1992-01-01,69213
1992-02-01,68754
1992-03-01,69211
1992-04-01,69185
1992-05-01,69495
1992-06-01,70113
1992-07-01,70830
1992-08-01,70213
1992-09-01,68985
1992-10-01,69234
1992-11-01,69399
1992-12-01,68949
1993-01-01,68167
1993-02-01,68309
1993-03-01,68655
1993-04-01,68378
1993-05-01,69102
1993-06-01,70150
1993-07-01,70357
1993-08-01,69782
1993-09-01,68931
1993-10-01,69410
1993-11-01,69175
1993-12-01,68692
1994-01-01,68180
1994-02-01,68303
1994-03-01,68433
1994-04-01,68262
1994-05-01,68637
1994-06-01,68766
1994-07-01,69513
1994-08-01,68923
1994-09-01,67964
1994-10-01,68723
1994-11-01,68719
1994-12-01,68250
1995-01-01,66763
1995-02-01,66829
1995-03-01,67015
1995-04-01,66982
1995-05-01,66721
1995-06-01,67184
1995-07-01,67968
1995-08-01,67276
1995-09-01,66823
1995-10-01,67682
1995-11-01,67673
1995-12-01,67197
1996-01-01,66124
1996-02-01,66698
1996-03-01,67268
1996-04-01,67490
1996-05-01,67729
1996-06-01,68286
1996-07-01,68755
1996-08-01,68402
1996-09-01,68105
1996-10-01,68515
1996-11-01,68442
1996-12-01,67951
1997-01-01,67344
1997-02-01,67368
1997-03-01,68502
1997-04-01,68351
1997-05-01,68638
1997-06-01,68836
1997-07-01,69449
1997-08-01,68965
1997-09-01,68249
1997-10-01,68802
1997-11-01,68753
1997-12-01,68096
1998-01-01,66980
1998-02-01,67280
1998-03-01,68026
1998-04-01,68039
1998-05-01,68731
1998-06-01,69015
1998-07-01,69637
1998-08-01,69212
1998-09-01,68484
1998-10-01,69310
1998-11-01,69595
1998-12-01,69537
1999-01-01,69111
1999-02-01,69041
1999-03-01,69505
1999-04-01,69318
1999-05-01,69852
1999-06-01,69999
1999-07-01,70477
1999-08-01,70250
1999-09-01,69782
1999-10-01,70471
1999-11-01,70800
1999-12-01,70945
2000-01-01,74782
2000-02-01,74750
2000-03-01,75139
2000-04-01,75275
2000-05-01,75239
2000-06-01,75737
2000-07-01,75843
2000-08-01,75258
